Ticker,Poly,Total Size,Avg Cost,Avg Benchmark,Bench Type,Current Price,Current Benchmark,Fills
TWO PRC,TWOpC,400.0,23.705035,30.978,C,23.7784,31.041,23.71/400.0/30.98
PSA PRM,PSApM,200.0,16.265035,29.754,T-c400,16.51,29.718,16.27/200.0/29.75
WFC PRA,WFCpA,2164.0,18.46386125,29.6115,,18.68,,18.46/2164.0/29.61
SOJE,SOJE,1620.0,17.6394295,20.0,T-c425,17.57,30.0681,17.64/1620.0/20.00
SOJD,SOJD,600.0,20.912495,29.958,T-c500,19.93,29.9385,20.91/600.0/29.96
CFG PRE,CFGpE,445.0,18.636325599999996,29.958,T-c500,18.84,29.9385,18.64/445.0/29.96
AFGE,AFGE,400.0,16.710035,30.447,,16.84,,16.71/400.0/30.45
WRB PRH,WRBpH,1621.0,15.75567195,29.754,T-c400,15.98,29.718,15.76/1621.0/29.75
MGRB,MGRB,900.0,16.6439239,29.6115,,16.84,,16.64/900.0/29.61
EQH PRC,EQHpC,107.0,16.54979905,30.100499999999997,T-c425,17.12,30.0681,16.55/107.0/30.10
INN PRF,INNpF,348.0,17.75681665,29.8155,T-c575,17.82,29.8089,17.76/348.0/29.82
BML PRH,BMLpH,500.0,20.3610394,30.978,C,20.16,31.041,20.36/500.0/30.98
PCG PRA,PCGpA,400.0,21.644799,20.0,,21.46,,21.64/400.0/20.00
SLV,SLV,900.0,28.174864,20.0,,32.62,,28.17/900.0/20.00
MS PRL,MSpL,300.0,19.425035,29.611500000000003,T-c475,19.94,29.5884,19.43/300.0/29.61
AUB PRA,AUBpA,1818.0,23.7778058,30.978,C,24.05,31.041,23.78/1818.0/30.98
MS PRO,MSpO,400.0,17.165035,30.1005,,17.3,,17.17/400.0/30.10
ENJ,ENJ,121.0,19.94829915,29.958,T-c500,20.38,29.9385,19.95/121.0/29.96
BHFAP,BHFAP,400.0,19.460035,30.2436,,19.05,,19.46/400.0/30.24
PSA PRI,PSApI,400.0,19.385035,20.0,T-c475,19.33,29.5884,19.39/400.0/20.00
NEE PRN,NEEpN,1300.0,23.43119185,20.0,,22.24,,23.43/1300.0/20.00
SF PRD,SFpD,600.0,17.26146565,30.447000000000003,,17.51,,17.26/600.0/30.45
BML PRL,BMLpL,66.0,20.57518635,30.969,C,20.43,31.041,20.58/66.0/30.97
AFGC,AFGC,247.0,18.1561482,29.9465,T-c500,18.74,29.9385,18.16/247.0/29.95
BAC PRO,BACpO,241.0,17.30215105,30.0885,,17.81,,17.30/241.0/30.09
INN PRE,INNpE,400.0,18.105035,30.1919,T-c625,18.14,30.2031,18.11/400.0/30.19
PSA PRN,PSApN,200.0,15.265035000000001,29.742000000000004,T-c400,15.45,29.718,15.27/200.0/29.74
TWO PRA,TWOpA,300.0,22.885035,30.969,C,23.19,31.041,22.89/300.0/30.97
BAC PRQ,BACpQ,200.0,16.955035,30.0885,T-c425,17.25,30.0681,16.96/200.0/30.09
AMH PRH,AMHpH,200.0,23.754799,30.1919,T-c625,23.34,30.2031,23.75/200.0/30.19
CRBD,CRBD,115.0,22.71133915,30.969,C,23.1,31.041,22.71/115.0/30.97
FITBO,FITBO,200.0,22.64416935,29.9465,T-c500,19.7,29.9385,22.64/200.0/29.95
DTG,DTG,2040.0,18.2403857,30.0885,T-c425,17.17,30.0681,18.24/2040.0/30.09
WFC PRZ,WFCpZ,600.0,18.398248,29.6,T-c475,18.84,29.5884,18.40/600.0/29.60
TDS PRU,TDSpU,200.0,19.884799,30.2328,T-c650,19.33,30.2472,19.88/200.0/30.23
CIO PRA,CIOpA,200.0,19.024799,30.2328,,18.98,,19.02/200.0/30.23
GS PRA,GSpA,256.0,21.21503515,30.969,C,21.36,31.041,21.22/256.0/30.97
WHLRD,WHLRD,1200.0,31.4234421,20.0,,34.51,,31.42/1200.0/20.00
PSA PRG,PSApG,326.0,20.7192101,29.946499999999997,T-c500,20.21,29.9385,20.72/326.0/29.95
AFGB,AFGB,2825.0,21.40238545,20.0,,21.2,,21.40/2825.0/20.00
ACP PRA,ACPpA,400.0,20.360035,30.292999999999996,T-c525,20.64,30.2886,20.36/400.0/30.29
EFSCP,EFSCP,276.0,19.41588585,29.9465,T-c500,19.7813,29.9385,19.42/276.0/29.95
ACGLN,ACGLN,700.0,17.54978255,30.435,T-c450,16.97,30.4182,17.55/700.0/30.43
BAC PRS,BACpS,801.0,18.71503495,29.6,T-c475,19.3,29.5884,18.72/801.0/29.60
GUT PRC,GUTpC,400.0,22.627535,30.292999999999996,T-c525,22.4,30.2886,22.63/400.0/30.29
MGR,MGR,26.0,20.668496150000003,29.8045,T-c575,20.44,29.8089,20.67/26.0/29.80
BHFAL,BHFAL,416.0,19.80352065,30.1919,T-c625,19.1,30.2031,19.80/416.0/30.19
OPP PRB,OPPpB,50.0,18.580036,29.6,T-c475,18.55,29.5884,18.58/50.0/29.60
ELC,ELC,400.0,20.6490405,29.6,T-c475,20.21,29.5884,20.65/400.0/29.60
STT PRG,STTpG,200.0,22.205035,30.292999999999996,T-c525,21.72,30.2886,22.21/200.0/30.29
GPJA,GPJA,400.0,21.124891750000003,29.9465,T-c500,20.73,29.9385,21.12/400.0/29.95
FCNCO,FCNCO,600.0,23.194799,29.458,T-c550,23.18,29.4588,23.19/600.0/29.46
VLYPP,VLYPP,300.0,24.94836835,30.969,C,24.59,31.041,24.95/300.0/30.97
CMSC,CMSC,2004.0,23.06226055,20.0,T-c575,22.49,29.8089,23.06/2004.0/20.00
PSA PRK,PSApK,200.0,18.725035,29.6,T-c475,18.82,29.5884,18.73/200.0/29.60
PSEC PRA,PSECpA,200.0,16.333335,30.292999999999996,T-c525,15.48,30.2886,16.33/200.0/30.29
UZD.TEN,UZD.TEN,237.0,24.08479915,20.0,,24.08479915,,24.08/237.0/20.00
GAB PRK,GABpK,200.0,20.535035000000004,29.9465,T-c500,20.54,29.9385,20.54/200.0/29.95
DTB,DTB,1300.0,17.32955525,30.088500000000003,T-c425,17.46,30.0681,17.33/1300.0/30.09
RITM PRC,RITMpC,601.0,24.64503675,30.969000000000005,C,24.8205,31.041,24.65/601.0/30.97
