PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,Div adj.price
ABLLL,ABLLL,ABL,,BB,8.00,05/13/2025,2/15/2027,11/15/2028,0.62,9.88%,,,95.62,Insurance,,44.00,,,,,,24.79,,,25.50,26.19,-2.79,-5.35,20.52,38.50,20.52,38.50,24.47
ABR PRD,ABR-D,ABR,,,8.00,06/17/2025,6/2/2026,NONE,0.40,6.38%,21.35,16.60,192.08,Reit,,79.00,,,,,,17.61,1.01,-3.74,17.53,18.27,0.48,-3.64,16.75,19.98,15.90,19.98,17.56
ABR PRE,ABR-E,ABR,,,8.00,06/17/2025,8/11/2026,NONE,0.39,6.25%,21.35,16.60,192.08,Reit,,79.00,,,,,,17.25,0.65,-4.10,17.14,18.08,0.63,-4.57,16.30,20.60,16.00,20.94,17.20
ABR PRF,ABR-F,ABR,NFF,,8.00,07/11/2025,10/30/2026,NONE,0.39,6.25%,,,192.08,Reit,,13.00,,,,,,20.40,,,21.12,20.61,-3.41,-1.04,19.19,23.30,17.15,23.30,20.07
ACR PRC,ACR-C,ACR,FF,,8.00,07/01/2025,7/30/2024,NONE,0.64,8.63%,,,7.39,Reit,,3.00,,,,,,25.32,,,24.85,24.89,1.87,1.74,22.61,25.53,20.85,25.53,24.70
ACR PRD,ACR-D,ACR,,,8.00,07/01/2025,5/21/2026,NONE,0.49,7.88%,20.50,18.57,7.39,Reit,,3.00,,,,,,22.45,3.88,1.95,21.31,22.18,5.36,1.22,18.12,23.48,17.69,24.49,21.98
AGNCL,AGNCL,AGNC,FF,,8.00,07/01/2025,10/15/2027,NONE,0.48,7.75%,,,1020.48,Reit,,3.00,,,,,,25.16,,,24.97,24.71,0.74,1.80,22.84,26.59,19.78,26.59,24.70
AGNCM,AGNCM,AGNC,FF,,8.00,07/01/2025,4/15/2024,NONE,0.56,6.88%,,,1020.48,Reit,,3.00,,,,,,25.34,,,24.81,25.07,2.15,1.09,23.01,25.60,20.47,25.85,24.80
AGNCN,AGNCN,AGNC,FF,,8.00,07/01/2025,10/15/2022,NONE,0.61,7.00%,,,1020.48,Reit,,3.00,,,,,,25.83,,,25.64,25.70,0.73,0.50,23.63,26.59,23.63,26.59,25.24
AGNCO,AGNCO,AGNC,FF,,8.00,07/01/2025,10/15/2024,NONE,0.60,6.50%,,,1020.48,Reit,,3.00,,,,,,25.71,,,25.35,25.22,1.42,1.92,23.68,25.95,20.85,25.95,25.13
AGNCP,AGNCP,AGNC,FF,,8.00,07/01/2025,4/15/2025,NONE,0.38,6.13%,,,1020.48,Reit,,3.00,,,,,,25.37,,,24.93,24.63,1.76,2.99,23.37,25.48,19.61,25.48,25.00
AHL PRF,AHL-F,-,,,10.00,06/12/2025,11/30/2029,NONE,0.61,7.00%,,,-,-,,74.00,,,,,,24.20,,,,,,,21.28,26.21,21.28,26.21,24.09
ALL PRB,ALL-B,ALL,FF,,12.50,06/27/2025,1/15/2023,1/15/2053,0.48,5.10%,,,264.67,Insurance,,89.00,,,,,,26.23,,,25.94,26.00,1.10,0.90,25.01,27.00,25.01,27.00,26.22
ALL PRJ,ALL-J,ALL,,,12.00,06/27/2025,7/15/2028,NONE,0.46,7.38%,,25.29,264.67,Insurance,,89.00,,,,,,26.77,1.48,,26.64,26.98,0.49,-0.78,25.56,27.99,25.15,28.22,26.76
ALTG PRA,ALTG-A,ALTG,,,8.00,07/11/2025,12/22/2025,NONE,0.63,10.00%,26.75,25.75,33.19,Rental&leasingservices,,13.00,,,,,,25.11,-0.64,-1.64,24.85,25.39,1.04,-1.09,23.05,26.25,23.05,27.00,24.57
ANG PRB,ANG-B,-,FF,,9.00,05/16/2025,9/1/2025,NONE,0.41,6.63%,,,-,-,,47.00,,,,,,25.11,,,25.05,25.02,0.24,0.36,24.76,25.90,22.00,25.90,24.91
ANG PRD,ANG-D,-,,,9.00,06/30/2025,1/15/2030,,0.49,7.38%,,,-,-,,2.00,,,,,,25.75,,,,,,,23.54,26.54,23.54,26.54,25.27
