"PREF IBKR","CMON","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CGRUP","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","TIME TO DIV","Div adj.price","COM_LAST_PRICE","COM_52W_LOW","COM_52W_HIGH","COM_6M_PRICE","COM_3M_PRICE","COM_5Y_LOW","COM_5Y_HIGH","COM_MKTCAP","CRDT_SCORE","COM_FEB2020_PRICE","COM_MAR2020_PRICE","COM_5Y_LOW_CHG","COM_5Y_HIGH_CHG","COM_52W_LOW_CHG","COM_52W_HIGH_CHG","COM_6M_CHG","COM_3M_CHG","COM_FEB2020_CHG","COM_MAR2020_CHG","5Y_LOW_SKOR","5Y_HIGH_SKOR","52W_LOW_SKOR","52W_HIGH_SKOR","COM_6M_SKOR","COM_3M_SKOR","FEB2020_SKOR","MAR2020_SKOR","Normalized_5Y_LOW","Normalized_5Y_HIGH","Normalized_52W_LOW","Normalized_52W_HIGH","Normalized_COM_6M","Normalized_COM_3M","Normalized_FEB2020","Normalized_MAR2020"
"ACGLN","ACGL","","12","12/13/2024","","","0.280000","4.55%","21.700000","16.620000","c450","16.750000","0.130000","-4.950000","17.540000","18.940000","-4.500000","-11.580000","16.440000","20.990000","16.440000","21.220000","85.000000","16.730000","90.890000","82.490000","116.470000","90.530000","95.280000","26.220000","116.470000","34.100000","12","46.780000","25.970000","2.466438","-0.219627","0.101831","-0.219627","0.003977","-0.046075","0.942924","2.499807","169.653075","456.623801","3.507198","13.403516","16.677039","6.337027","109.439569","126.021386","87.949671","97.528038","3.425378","45.628748","62.841455","48.011547","51.590894","43.362590"
"ACGLO","ACGL","","11.5","12/13/2024","","","0.340000","5.45%","24.930000","19.340000","c550","20.140000","0.800000","-4.790000","20.900000","22.130000","-3.630000","-9.000000","19.990000","23.910000","19.200000","24.500000","85.000000","20.120000","90.890000","82.490000","116.470000","90.530000","95.280000","26.220000","116.470000","34.100000","12","46.780000","25.970000","2.466438","-0.219627","0.101831","-0.219627","0.003977","-0.046075","0.942924","2.499807","169.653075","456.623801","3.507198","13.403516","16.677039","6.337027","109.439569","126.021386","87.949671","97.528038","3.425378","45.628748","62.841455","48.011547","51.590894","43.362590"
"ACP PRA","ACP","","15","12/16/2024","","","0.330000","5.25%","24.610000","21.470000","c525","20.800000","-0.670000","-3.810000","21.490000","23.010000","-3.210000","-9.600000","20.210000","25.000000","19.650000","26.330000","88.000000","20.790000","5.910000","4.920000","7.000000","5.930000","5.920000","4.920000","12.410000","0.741530","15","11.650000","6.700000","0.201220","-0.523771","0.201220","-0.155714","-0.003373","-0.001689","-0.492704","-0.117910","107.849106","266.479020","107.849106","15.013391","16.371957","7.795119","12.627593","13.063347","56.274237","57.332362","75.582304","50.989035","61.710155","58.828475","6.837388","5.391296"
"ADC PRA","ADC","","11","10/22/2024","","","0.270000","4.25%","20.920000","15.830000","c425","17.130000","1.300000","-3.790000","17.490000","18.460000","-2.040000","-7.220000","16.960000","21.940000","15.710000","21.940000","33.000000","16.960000","74.550000","60.420000","79.650000","73.310000","77.160000","52.690000","80.440000","8.200000","11","77.460000","52.710000","0.414879","-0.073222","0.233863","-0.064030","0.016914","-0.033826","-0.037568","0.414343","125.466177","26.856224","111.480333","28.299293","17.214117","6.739411","41.594963","36.030781","65.303243","6.677274","78.093454","95.226175","64.833034","50.996654","20.228204","13.111890"
"AEFC","AEG","BB","12.5","11/29/2024","12/15/2024","","0.320000","5.10%","24.320000","18.560000","c500","19.400000","0.840000","-4.920000","20.130000","21.080000","-3.640000","-7.970000","18.610000","22.830000","18.240000","22.900000","71.000000","19.330000","6.940000","5.420000","7.320000","5.830000","6.570000","2.310000","138.840100","10.990000","12.5","","","2.004329","-0.950014","0.280443","-0.051913","0.190395","0.056317","","","164.484123","0.000000","115.890243","27.707404","24.415614","9.700644","","","85.300508","1.000000","81.143096","93.255403","91.537478","72.964708","",""
"AFGB","AFG","BB","11.5","12/13/2024","","","0.370000","5.88%","26.830000","21.400000","c575","20.740000","-0.660000","-6.090000","21.740000","23.270000","-4.600000","-10.880000","20.660000","25.240000","20.660000","25.270000","85.000000","20.720000","123.870000","114.730000","150.190000","137.910000","126.520000","56.730000","152.290000","10.350000","11.5","112.940000","51.160000","1.183501","-0.186618","0.079665","-0.175245","-0.101806","-0.020945","0.096777","1.421228","151.378679","419.989544","2.682267","14.029951","12.285816","7.162544","50.890879","79.479214","78.583777","89.783735","2.854903","47.714547","46.558012","54.135685","24.525449","27.717254"
"AFGC","AFG","BB","11.5","11/29/2024","","","0.320000","5.13%","26.220000","18.460000","c500","18.350000","-0.110000","-7.870000","19.290000","20.780000","-4.890000","-11.690000","18.010000","23.420000","18.010000","23.420000","71.000000","18.280000","123.870000","114.730000","150.190000","137.910000","126.520000","56.730000","152.290000","10.350000","11.5","112.940000","51.160000","1.183501","-0.186618","0.079665","-0.175245","-0.101806","-0.020945","0.096777","1.421228","151.378679","419.989544","2.682267","14.029951","12.285816","7.162544","50.890879","79.479214","78.583777","89.783735","2.854903","47.714547","46.558012","54.135685","24.525449","27.717254"
"AFGD","AFG","BB","11.5","11/15/2024","","","0.350000","5.63%","25.560000","20.360000","c550","20.030000","-0.330000","-5.530000","20.920000","22.780000","-4.270000","-12.070000","18.190000","25.610000","18.190000","25.610000","57.000000","19.900000","123.870000","114.730000","150.190000","137.910000","126.520000","56.730000","152.290000","10.350000","11.5","112.940000","51.160000","1.183501","-0.186618","0.079665","-0.175245","-0.101806","-0.020945","0.096777","1.421228","151.378679","419.989544","2.682267","14.029951","12.285816","7.162544","50.890879","79.479214","78.583777","89.783735","2.854903","47.714547","46.558012","54.135685","24.525449","27.717254"
"AFGE","AFG","BB","11.5","11/29/2024","","","0.280000","4.50%","22.310000","16.580000","c450","16.490000","-0.090000","-5.820000","17.110000","18.630000","-3.650000","-11.510000","16.110000","20.770000","16.110000","21.780000","71.000000","16.430000","123.870000","114.730000","150.190000","137.910000","126.520000","56.730000","152.290000","10.350000","11.5","112.940000","51.160000","1.183501","-0.186618","0.079665","-0.175245","-0.101806","-0.020945","0.096777","1.421228","151.378679","419.989544","2.682267","14.029951","12.285816","7.162544","50.890879","79.479214","78.583777","89.783735","2.854903","47.714547","46.558012","54.135685","24.525449","27.717254"
"AGM PRD","AGM","","NR","12/27/2024","","","0.360000","5.70%","25.280000","21.040000","c550","21.640000","0.600000","-3.640000","22.030000","22.910000","-1.790000","-5.550000","20.920000","24.860000","20.260000","25.700000","9.000000","21.320000","184.250000","159.630000","217.600000","209.190000","194.260000","57.050000","217.600000","1.980000","NR","73.290000","43.020000","2.229623","-0.153263","0.154232","-0.153263","-0.119222","-0.051529","1.513986","3.282892","167.137666","438.339967","101.476089","15.136830","11.562834","6.157855","148.953833","159.812519","86.660488","93.662925","71.175088","51.400043","43.877065","46.682349","69.857248","54.721614"
