PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CGRUP,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV
ACGLN,ACGL,,12,12/13/2024,,,0.28,4.55%,21.7,16.62,c450,16.89,0.27,-4.81,17.27,18.82,-2.22,-10.25,16.44,20.99,16.44,21.22,67.0,16.82,0.38,-4.17,59.848485,72.674897,80.029674,58.217317,-4.88,0.2,63.096559,73.685504,-4.4,0.38,61.046312,87.040951,34908,36924,51271,41034
ACGLO,ACGL,,11.5,12/13/2024,,,0.34,5.45%,24.93,19.34,c550,20.64,1.3,-4.29,20.71,22.04,-0.36,-6.34,19.99,23.82,19.2,24.5,67.0,20.55,0.56,-3.27,50.454545,56.584362,75.756677,45.993209,-4.38,1.21,58.657048,63.759214,-3.95,1.35,54.871355,76.78996,20143,19078,17048,18756
ACP PRA,ACP,,15,12/16/2024,,,0.33,5.25%,24.61,21.47,c525,20.86,-0.61,-3.75,21.29,22.84,-2.0,-8.67,20.05,25.0,19.65,26.33,70.0,20.79,0.74,-4.21,58.737374,66.17284,71.48368,58.760611,-3.82,-0.68,53.684795,82.334152,-5.54,1.14,76.689537,79.009247,2040,1834,2388,2087
ADC PRA,ADC,,11,10/22/2024,,,0.27,4.25%,20.92,15.83,c425,17.29,1.46,-3.63,17.41,18.46,-0.67,-6.32,16.89,21.94,15.71,21.94,15.0,17.06,0.17,-4.88,52.020202,56.502058,85.014837,67.860781,-3.86,1.23,54.039956,63.562654,-4.88,1.35,67.632933,76.78996,15395,11826,10161,12461
AEFC,AEG,BB,12.5,11/29/2024,12/15/2024,,0.32,5.10%,24.32,18.56,c500,19.92,1.36,-4.4,19.98,21.01,-0.32,-5.18,18.61,22.7,18.24,22.9,53.0,19.79,1.18,-2.91,50.252525,51.8107,61.038576,41.103565,-4.53,1.23,59.988901,63.562654,-3.11,1.55,43.344768,74.676354,37715,44564,34208,38829
AFGB,AFG,BB,11.5,12/13/2024,,,0.37,5.88%,26.83,21.4,c575,21.46,0.06,-5.37,21.52,23.17,-0.27,-7.4,20.47,25.05,20.47,25.27,67.0,21.37,0.9,-3.68,50.0,60.946502,67.68546,51.561969,-5.46,-0.03,68.246393,75.945946,-3.9,0.9,54.185249,81.545575,7526,8980,6967,7824
AFGC,AFG,BB,11.5,11/29/2024,,,0.32,5.13%,26.22,18.46,c500,19.35,0.89,-6.87,19.03,20.68,1.66,-6.44,18.01,23.42,18.01,23.42,53.0,19.22,1.21,-4.2,40.252525,56.995885,60.326409,58.624788,-7.0,0.76,81.920089,68.181818,-4.2,1.21,58.301887,78.269485,6158,5269,5440,5622
AFGD,AFG,BB,11.5,11/15/2024,,,0.35,5.63%,25.56,20.36,c550,20.92,0.56,-4.64,20.69,22.68,1.1,-7.75,18.19,25.29,18.19,25.61,39.0,20.72,2.53,-4.57,43.080808,62.386831,28.991098,63.650255,-4.84,0.36,62.741398,72.113022,-4.89,2.53,67.770154,64.319683,7163,7048,6276,6829
AFGE,AFG,BB,11.5,11/29/2024,,,0.28,4.50%,22.31,16.58,c450,17.26,0.68,-5.05,16.95,18.55,1.82,-6.96,16.11,20.77,16.11,21.78,53.0,17.14,1.03,-3.63,39.444444,59.135802,64.599407,50.882852,-5.17,0.56,65.671476,70.14742,-4.64,1.03,64.339623,80.171731,7160,7541,7123,7275
AGM PRD,AGM,,NR,12/27/2024,,,0.36,5.70%,25.28,21.04,c550,21.36,0.32,-3.92,21.92,22.85,-2.56,-6.53,20.92,24.86,20.26,25.0,81.0,21.32,0.4,-3.54,61.565657,57.366255,79.554896,49.660441,-3.96,0.28,54.927858,72.899263,-3.68,1.06,51.166381,79.85469,4506,4605,6754,5288
AGM PRE,AGM,,NR,12/27/2024,,,0.36,5.75%,24.9,21.55,c550,21.41,-0.14,-3.49,21.97,22.98,-2.56,-6.84,21.17,24.3,20.31,24.93,81.0,21.37,0.2,-2.93,61.565657,58.641975,84.302671,41.375212,-3.53,-0.18,51.109878,77.420147,-3.56,1.06,49.519726,79.85469,3325,1941,2431,2565
AGM PRF,AGM,,NR,12/27/2024,,,0.33,5.25%,22.5,19.9,c525,19.59,-0.31,-2.91,20.22,21.13,-3.14,-7.29,19.22,23.34,17.82,23.39,81.0,19.56,0.34,-3.78,64.494949,60.493827,80.979228,52.920204,-2.94,-0.34,45.871254,78.992629,-3.83,1.74,53.2247,72.668428,9315,8376,10566,9419
AGM PRG,AGM,,NR,12/27/2024,,,0.3,4.88%,21.8,18.2,c475,18.24,0.04,-3.56,18.84,19.77,-3.17,-7.72,17.88,22.15,17.16,22.37,81.0,18.21,0.33,-3.94,64.646465,62.263374,81.216617,55.093379,-3.59,0.01,51.642619,75.552826,-4.16,1.05,57.753002,79.96037,9037,8705,12658,10133
AHH PRA,AHH,,NR,1/2/2025,,,0.42,6.75%,26.43,20.5,c675,21.4,0.91,-5.02,21.91,22.46,-2.26,-4.68,19.88,24.93,19.52,25.76,87.0,21.4,1.52,-3.53,60.050505,49.753086,52.967359,49.524618,-5.03,0.9,64.428413,66.805897,-4.36,1.88,60.497427,71.188904,8050,5420,2608,5359
AIZN,AIZ,BB,10,12/27/2024,,,0.33,5.25%,24.0,17.74,c525,20.79,3.05,-3.21,19.7,20.92,5.52,-0.61,18.01,23.14,17.7,23.14,81.0,20.76,2.75,-2.38,20.757576,33.004115,23.768546,33.904924,-3.24,3.02,48.534961,45.970516,-2.38,3.06,33.327616,58.718626,12653,14822,18928,15468
ALL PRH,ALL,,12,12/27/2024,,,0.32,5.10%,24.78,18.74,c500,21.05,2.31,-3.73,21.02,22.19,0.13,-5.15,19.37,24.85,18.38,24.97,81.0,21.02,1.65,-3.83,47.979798,51.687243,49.881306,53.599321,-3.76,2.28,53.152053,53.243243,-3.95,2.64,54.871355,63.157199,86187,74462,73929,78193
ALL PRI,ALL,,12,12/27/2024,,,0.3,4.75%,24.92,17.85,c475,19.36,1.51,-5.56,19.52,20.85,-0.79,-7.13,18.56,23.45,17.5,24.49,81.0,19.33,0.77,-4.12,52.626263,59.835391,70.771513,57.5382,-5.59,1.48,69.400666,61.105651,-5.16,1.83,71.475129,71.717305,23058,21776,28646,24493
AMH PRG,AMH,,9,12/13/2024,,,0.37,5.88%,25.47,21.43,c575,22.84,1.41,-2.63,23.06,23.42,-0.95,-2.46,21.76,25.16,21.1,25.34,67.0,22.75,0.99,-2.41,53.434343,40.617284,65.548961,34.312394,-2.72,1.32,43.917869,62.678133,-2.59,1.65,36.209262,73.619551,8014,9408,9011,8811
AMH PRH,AMH,,9,12/13/2024,,,0.39,6.25%,25.85,22.38,c625,23.8,1.42,-2.05,24.11,24.31,-1.28,-2.11,22.7,25.49,21.74,26.25,67.0,23.7,1.0,-1.79,55.10101,39.176955,65.311573,25.891341,-2.15,1.32,38.856826,62.678133,-2.55,1.96,35.660377,70.343461,7779,7385,6756,7306
ASB PRE,ASB,,10,12/2/2024,,,0.37,5.88%,25.1,16.77,c575,20.74,3.97,-4.36,20.41,21.36,1.6,-2.88,19.25,23.74,16.2,23.75,56.0,20.6,1.35,-3.14,40.555556,42.345679,57.002967,44.227504,-4.5,3.83,59.722531,38.009828,-3.15,4.4,43.893654,44.557464,3529,3059,2790,3126
ASB PRF,ASB,,10,12/2/2024,,,0.35,5.63%,25.25,16.4,c550,19.85,3.45,-5.4,19.56,20.43,1.48,-2.84,18.51,22.45,15.55,22.91,56.0,19.72,1.21,-2.73,41.161616,42.18107,60.326409,38.658744,-5.53,3.32,68.867925,43.022113,-3.19,4.17,44.442539,46.988111,5530,4754,3243,4509
ATH PRB,-,,11,12/13/2024,,,0.35,5.63%,25.26,18.0,c550,20.28,2.28,-4.98,19.69,21.08,3.01,-3.8,18.34,23.53,16.66,23.53,67.0,20.19,1.85,-3.34,33.434343,46.131687,45.133531,46.943973,-5.07,2.19,64.783574,54.127764,-3.34,3.53,46.500858,53.751651,22342,23005,27718,24355
ATH PRD,-,,11,12/13/2024,,,0.3,4.88%,21.69,15.24,c475,17.2,1.96,-4.49,17.02,18.28,1.08,-5.91,15.86,20.61,15.19,20.61,67.0,17.12,1.26,-3.49,43.181818,54.814815,59.139466,48.981324,-4.57,1.88,60.344062,57.174447,-3.49,1.93,48.559177,70.660502,47607,45449,60910,51322
AXS PRE,AXS,,11.5,12/26/2024,,,0.34,5.50%,24.04,19.26,c550,20.12,0.86,-3.92,20.49,21.43,-1.8,-6.13,19.45,23.21,18.77,23.66,80.0,20.08,0.63,-3.13,57.727273,55.720165,74.094955,44.091681,-3.96,0.82,54.927858,67.592138,-3.58,1.31,49.794168,77.212682,31688,29527,30751,30655
BAC PRB,BAC,,11,10/29/2024,6/16/2023,,0.38,6.00%,25.69,23.02,c600,25.2,2.18,-0.49,24.72,25.05,1.92,0.61,24.04,25.63,22.3,25.63,22.0,24.91,0.87,-0.72,38.939394,27.983539,68.397626,11.358234,-0.78,1.89,26.692564,57.076167,-0.72,2.61,10.548885,63.47424,83271,98899,139367,107179
BAC PRK,BAC,,11,1/2/2025,,,0.37,5.88%,25.68,22.0,c575,24.39,2.39,-1.29,24.23,24.75,0.65,-1.45,23.35,25.32,21.51,25.43,87.0,24.38,1.03,-0.94,45.353535,36.460905,64.599407,14.34635,-1.3,2.38,31.309656,52.260442,-1.05,2.87,15.077187,60.726552,51885,56612,58913,55803
BAC PRM,BAC,,11,12/2/2024,,,0.34,5.38%,25.18,20.7,c525,22.1,1.4,-3.08,22.04,23.11,0.25,-4.37,20.83,24.88,20.54,24.88,56.0,21.97,1.14,-2.91,47.373737,48.477366,61.988131,41.103565,-3.21,1.27,48.26859,63.169533,-2.91,1.43,40.600343,75.944518,90244,83312,90212,87922
BAC PRN,BAC,,11,12/2/2024,,,0.31,5.00%,23.9,19.25,c500,20.62,1.37,-3.28,20.47,21.69,0.73,-4.95,19.37,23.86,19.0,24.04,56.0,20.5,1.13,-3.36,44.949495,50.864198,62.225519,47.21562,-3.4,1.25,49.955605,63.366093,-3.54,1.5,49.245283,75.204756,108818,104076,124494,112463
BAC PRO,BAC,,11,10/15/2024,11/3/2025,,0.27,4.38%,21.39,16.54,c425,18.08,1.54,-3.31,17.97,19.18,0.63,-5.76,17.14,20.88,16.35,21.54,8.0,17.83,0.69,-3.05,45.454545,54.197531,72.670623,43.005093,-3.56,1.29,51.376249,62.972973,-3.71,1.48,51.578045,75.416116,77001,83654,86836,82497
BAC PRP,BAC,,11,10/15/2024,,,0.26,4.12%,20.8,15.57,c400,17.22,1.65,-3.58,17.0,18.14,1.28,-5.06,16.17,19.84,15.4,20.58,8.0,16.98,0.81,-2.86,42.171717,51.316872,69.821958,40.424448,-3.82,1.41,53.684795,61.793612,-3.6,1.58,50.068611,74.359313,69462,65558,79791,71604
BAC PRQ,BAC,,11,11/1/2024,,,0.27,4.25%,20.46,16.11,c425,17.56,1.45,-2.9,17.44,18.56,0.71,-5.4,16.56,20.51,15.98,21.0,25.0,17.36,0.8,-3.15,45.050505,52.716049,70.059347,44.363328,-3.1,1.25,47.291898,63.366093,-3.64,1.38,50.617496,76.472919,107512,109679,124198,113796
BAC PRS,BAC,,11,11/1/2024,,,0.3,4.75%,22.49,18.24,c475,19.69,1.45,-2.8,19.5,20.77,0.95,-5.2,18.55,23.05,17.82,23.44,25.0,19.47,0.92,-3.58,43.838384,51.893004,67.210682,50.203735,-3.02,1.23,46.581576,63.562654,-3.97,1.65,55.145798,73.619551,46246,40289,47126,44554
