PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CGRUP,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,CUR_YIELD,FINAL_THG,SOLIDITY_WEIGHT_USED,YIELD_WEIGHT_USED,Group,SMI,SHORT_FINAL
USB PRQ,USB,,13.5,12/27/2024,,,0.23,3.75,19.57,13.5,c400,15.22,1.72,-4.35,15.75,16.71,-3.36,-8.94,14.66,18.6,13.32,18.6,18.0,15.04,0.38,-3.56,64.12,66.4,74.68,54.83,-4.53,1.54,61.43,58.87,-3.56,1.72,50.22,74.89,42223.0,33405.0,34211.0,36613.0,73.33,0.06,418.62,1.98,849.15,10,0.0193,428.27
USB PRR,USB,,13.5,12/27/2024,,,0.25,4.0,21.05,14.57,c400,16.19,1.63,-4.85,16.81,17.83,-3.61,-9.14,15.62,20.35,14.24,20.35,18.0,16.0,0.38,-4.35,65.69,67.32,74.68,65.9,-5.05,1.43,65.93,59.82,-4.35,1.76,61.69,74.54,50373.0,41793.0,52989.0,48385.0,73.33,0.06,429.22,1.98,849.15,9,0.0141,436.27
PSA PRS,PSA,,13.5,12/12/2024,,,0.26,4.1,21.15,15.83,c400,16.33,0.52,-4.8,16.85,18.09,-2.96,-9.61,14.18,20.47,14.18,20.47,3.0,16.1,1.92,-4.37,61.62,69.48,37.23,66.18,-5.05,0.27,65.93,69.76,-4.37,1.92,61.98,73.14,16005.0,18352.0,10189.0,14849.0,73.05,0.06,417.91,1.98,849.15,2,0.039,437.41
COF PRN,COF,,10,11/13/2024,,,0.27,4.25,19.94,13.68,c425,16.3,2.59,-3.67,16.5,17.3,-1.41,-5.93,15.15,19.81,13.26,19.81,64.0,16.19,1.04,-3.62,51.94,52.55,58.63,55.67,-3.75,2.51,54.68,50.56,-3.62,2.93,51.09,64.32,33400.0,26563.0,21645.0,27203.0,73.19,0.07,393.72,1.98,849.15,10,0.0251,406.27
RNR PRG,RNR,,12,11/27/2024,,,0.26,4.2,20.02,15.35,c425,15.69,0.35,-4.32,16.02,17.33,-2.0,-9.39,14.26,18.97,14.26,19.46,78.0,15.67,1.41,-3.3,55.62,68.47,49.64,51.19,-4.35,0.32,59.87,69.34,-3.79,1.41,53.56,77.6,30874.0,31009.0,47411.0,36431.0,65.1,0.07,402.97,1.98,849.15,9,0.0131,409.52
COF PRL,COF,,10,11/13/2024,,,0.27,4.38,20.06,13.84,c425,16.28,2.45,-3.77,16.79,17.76,-2.97,-8.3,15.42,20.16,13.57,20.16,64.0,16.21,0.79,-3.95,61.69,63.46,64.71,60.3,-3.85,2.37,55.54,51.76,-3.95,2.64,55.88,66.86,47610.0,42070.0,42922.0,44201.0,73.19,0.07,416.42,1.98,849.15,10,0.0312,432.02
RF PRE,RF,,10,11/27/2024,,,0.28,4.45,20.69,15.45,c450,17.15,1.72,-3.52,17.53,18.21,-2.04,-5.71,16.41,19.98,14.16,19.98,78.0,17.13,0.72,-2.85,55.88,51.54,66.41,44.89,-3.56,1.68,53.03,57.67,-2.85,2.97,39.91,63.97,28769.0,28612.0,32369.0,29917.0,61.71,0.06,360.86,1.98,849.15,10,0.0252,373.46
HBANP,HBAN,,10,1/2/2025,,,0.28,4.5,20.81,14.07,c450,17.19,3.14,-3.6,17.66,18.37,-2.55,-6.29,16.22,20.74,13.71,20.74,24.0,17.0,0.78,-3.74,59.06,54.21,64.95,57.36,-3.81,2.93,55.19,46.96,-3.74,3.29,52.83,61.18,39031.0,39714.0,47891.0,42212.0,62.82,0.07,379.96,1.98,849.15,8,0.0317,395.81
BHFAM,BHF,,10.5,12/6/2024,,,0.29,4.63,21.13,13.35,c450,15.39,2.04,-5.74,14.72,16.16,4.57,-4.75,13.28,18.95,13.03,18.95,87.0,15.38,2.1,-3.57,14.56,47.12,32.86,54.97,-5.75,2.03,71.99,54.67,-3.57,2.35,50.36,69.39,34000.0,31785.0,32130.0,32638.0,61.22,0.08,348.17,1.98,849.15,8,0.1386,417.47
ATH PRD,-,,11,12/13/2024,,,0.3,4.88,21.69,15.24,c475,16.92,1.68,-4.77,17.21,18.4,-1.68,-8.06,15.86,20.61,15.19,20.61,4.0,16.63,0.77,-3.98,53.62,62.35,65.2,60.72,-5.06,1.39,66.02,60.16,-3.98,1.44,56.32,77.34,46928.0,43582.0,38043.0,42851.0,45.05,0.07,364.3,1.98,849.15,8,0.0131,370.85
