"PREF IBKR","CMON","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CGRUP","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","TIME TO DIV","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","Aug4_chg","Oct19_chg","Aug4_chg_norm","Oct19_chg_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm","ADV_6M","ADV_3M","ADV_15D","AVG_ADV","SOLIDITY_SCORE","CUR_YIELD","FINAL_THG","EX_DIV_DATE","TIME_TO_DIV","DIV_BONUS","SOLIDITY_WEIGHT_USED","YIELD_WEIGHT_USED"
"ACGLN","ACGL","","12","12/13/2024","","","0.2800","4.5500","21.7000","16.6200","c450","16.8900","0.2700","-4.8100","17.2700","18.8200","-2.2200","-10.2500","16.4400","20.9900","16.4400","21.2200","67.0000","16.8200","0.3800","-4.1700","59.8500","72.6700","80.0300","58.2200","-4.8800","0.2000","63.1000","73.6900","-4.4000","0.3800","61.0500","87.0400","34908.0000","36924.0000","51271.0000","41034.0000","66.9900","0.0676","416.0600","2024-12-13","-203","0","0.1200","2446.8200"
"ACGLO","ACGL","","11.5","12/13/2024","","","0.3400","5.4500","24.9300","19.3400","c550","20.6400","1.3000","-4.2900","20.7100","22.0400","-0.3600","-6.3400","19.9900","23.8200","19.2000","24.5000","67.0000","20.5500","0.5600","-3.2700","50.4500","56.5800","75.7600","45.9900","-4.3800","1.2100","58.6600","63.7600","-3.9500","1.3500","54.8700","76.7900","20143.0000","19078.0000","17048.0000","18756.0000","66.9900","0.0663","376.5100","2024-12-13","-203","0","0.1200","2446.8200"
"ACP PRA","ACP","","15","12/16/2024","","","0.3300","5.2500","24.6100","21.4700","c525","20.8600","-0.6100","-3.7500","21.2900","22.8400","-2.0000","-8.6700","20.0500","25.0000","19.6500","26.3300","70.0000","20.7900","0.7400","-4.2100","58.7400","66.1700","71.4800","58.7600","-3.8200","-0.6800","53.6800","82.3300","-5.5400","1.1400","76.6900","79.0100","2040.0000","1834.0000","2388.0000","2087.0000","56.0900","0.0631","397.6800","2024-12-16","-200","0","0.1200","2446.8200"
"ADC PRA","ADC","","11","10/22/2024","","","0.2700","4.2500","20.9200","15.8300","c425","17.2900","1.4600","-3.6300","17.4100","18.4600","-0.6700","-6.3200","16.8900","21.9400","15.7100","21.9400","15.0000","17.0600","0.1700","-4.8800","52.0200","56.5000","85.0100","67.8600","-3.8600","1.2300","54.0400","63.5600","-4.8800","1.3500","67.6300","76.7900","15395.0000","11826.0000","10161.0000","12461.0000","65.3200","0.0623","381.8800","2024-10-22","-255","0","0.1200","2446.8200"
"AEFC","AEG","BB","12.5","11/29/2024","12/15/2024","","0.3200","5.1000","24.3200","18.5600","c500","19.9200","1.3600","-4.4000","19.9800","21.0100","-0.3200","-5.1800","18.6100","22.7000","18.2400","22.9000","53.0000","19.7900","1.1800","-2.9100","50.2500","51.8100","61.0400","41.1000","-4.5300","1.2300","59.9900","63.5600","-3.1100","1.5500","43.3400","74.6800","37715.0000","44564.0000","34208.0000","38829.0000","35.7600","0.0644","352.0800","2024-11-29","-217","0","0.1200","2446.8200"
"AFGB","AFG","BB","11.5","12/13/2024","","","0.3700","5.8800","26.8300","21.4000","c575","21.4600","0.0600","-5.3700","21.5200","23.1700","-0.2700","-7.4000","20.4700","25.0500","20.4700","25.2700","67.0000","21.3700","0.9000","-3.6800","50.0000","60.9500","67.6900","51.5600","-5.4600","-0.0300","68.2500","75.9500","-3.9000","0.9000","54.1900","81.5500","7526.0000","8980.0000","6967.0000","7824.0000","64.8000","0.0688","392.5500","2024-12-13","-203","0","0.1200","2446.8200"
"AFGC","AFG","BB","11.5","11/29/2024","","","0.3200","5.1300","26.2200","18.4600","c500","19.3500","0.8900","-6.8700","19.0300","20.6800","1.6600","-6.4400","18.0100","23.4200","18.0100","23.4200","53.0000","19.2200","1.2100","-4.2000","40.2500","57.0000","60.3300","58.6200","-7.0000","0.7600","81.9200","68.1800","-4.2000","1.2100","58.3000","78.2700","6158.0000","5269.0000","5440.0000","5622.0000","64.8000","0.0667","377.8300","2024-11-29","-217","0","0.1200","2446.8200"
"AFGD","AFG","BB","11.5","11/15/2024","","","0.3500","5.6300","25.5600","20.3600","c550","20.9200","0.5600","-4.6400","20.6900","22.6800","1.1000","-7.7500","18.1900","25.2900","18.1900","25.6100","39.0000","20.7200","2.5300","-4.5700","43.0800","62.3900","28.9900","63.6500","-4.8400","0.3600","62.7400","72.1100","-4.8900","2.5300","67.7700","64.3200","7163.0000","7048.0000","6276.0000","6829.0000","64.8000","0.0679","373.4900","2024-11-15","-231","0","0.1200","2446.8200"
"AFGE","AFG","BB","11.5","11/29/2024","","","0.2800","4.5000","22.3100","16.5800","c450","17.2600","0.6800","-5.0500","16.9500","18.5500","1.8200","-6.9600","16.1100","20.7700","16.1100","21.7800","53.0000","17.1400","1.0300","-3.6300","39.4400","59.1400","64.6000","50.8800","-5.1700","0.5600","65.6700","70.1500","-4.6400","1.0300","64.3400","80.1700","7160.0000","7541.0000","7123.0000","7275.0000","64.8000","0.0656","376.0800","2024-11-29","-217","0","0.1200","2446.8200"
"AGM PRD","AGM","","NR","12/27/2024","","","0.3600","5.7000","25.2800","21.0400","c550","21.3600","0.3200","-3.9200","21.9200","22.8500","-2.5600","-6.5300","20.9200","24.8600","20.2600","25.0000","81.0000","21.3200","0.4000","-3.5400","61.5700","57.3700","79.5500","49.6600","-3.9600","0.2800","54.9300","72.9000","-3.6800","1.0600","51.1700","79.8500","4506.0000","4605.0000","6754.0000","5288.0000","50.7400","0.0668","388.0900","2024-12-27","-189","0","0.1200","2446.8200"
