PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV
ABLLL,ABLLL,ABL,,BB,8.0,05/13/2025,2/15/2027,11/15/2028,0.62,9.88%,,,95.62,Insurance,,38.0,,,,,,24.88,,,25.41,26.18,-2.07,-4.95,20.52,38.5,20.52,38.5,24.52,4.0,-13.98,64.414564,63.926149,39.923664,,-13.98,4.0,,64.74026,11509,13025,14851,13129
ABR PRD,ABR-D,ABR,,,8.0,06/17/2025,6/2/2026,NONE,0.4,6.38%,21.35,16.6,192.08,Reit,,73.0,,,,,,17.92,1.32,-3.43,17.52,18.26,2.3,-1.86,16.75,19.95,15.9,19.98,17.84,1.09,-2.11,49.950352,54.611907,75.465649,31.445466,-2.14,1.94,33.193277,78.116883,14465,14209,10592,13089
ABR PRE,ABR-E,ABR,,,8.0,06/17/2025,8/11/2026,NONE,0.39,6.25%,21.35,16.6,192.08,Reit,,73.0,,,,,,17.53,0.93,-3.82,17.14,18.06,2.28,-2.96,16.3,20.6,16.0,20.94,17.46,1.16,-3.14,50.016549,57.927656,74.610687,42.273325,-3.48,1.46,48.207283,81.233766,7908,9668,5816,7797
ABR PRF,ABR-F,ABR,NFF,,8.0,07/11/2025,10/30/2026,NONE,0.39,6.25%,,,192.08,Reit,,7.0,,,,,,21.12,,,21.04,20.62,0.36,2.41,19.4,23.3,17.15,23.3,20.76,1.36,-2.54,56.371535,41.740769,72.167939,35.965834,-2.54,3.61,37.67507,67.272727,20039,17041,18495,18525
ACR PRC,ACR-C,ACR,FF,,8.0,07/01/2025,7/30/2024,NONE,0.64,8.63%,,,7.39,Reit,,87.0,,,,,,24.51,,,24.84,24.89,-1.33,-1.52,22.61,25.53,21.49,25.53,24.49,1.88,-1.04,61.965246,53.587038,65.816794,20.197109,-1.04,3.0,20.868347,71.233766,7655,6311,6578,6848
ACR PRD,ACR-D,ACR,,,8.0,07/01/2025,5/21/2026,NONE,0.49,7.88%,20.5,18.57,7.39,Reit,,87.0,,,,,,22.13,3.56,1.63,21.31,22.2,3.85,-0.3,18.12,23.48,17.69,24.49,22.11,3.99,-1.37,44.820025,49.90957,40.045802,23.666229,-2.38,4.42,35.882353,62.012987,6545,8375,7348,7423
AGNCL,AGNCL,AGNC,FF,,8.0,07/01/2025,10/15/2027,NONE,0.48,7.75%,,,1020.48,Reit,,87.0,,,,,,24.74,,,24.96,24.72,-0.87,0.07,22.84,26.59,19.78,26.59,24.72,1.88,-1.87,60.442698,48.794273,65.816794,28.92247,-1.87,4.94,30.168067,58.636364,13895,13064,14627,13862
AGNCM,AGNCM,AGNC,FF,,8.0,07/01/2025,4/15/2024,NONE,0.56,6.88%,,,1020.48,Reit,,87.0,,,,,,24.57,,,24.79,25.06,-0.87,-1.96,23.01,25.6,20.47,25.85,24.55,1.54,-1.05,60.442698,54.913338,69.969466,20.302234,-1.3,4.08,23.781513,64.220779,14335,16171,13690,14732
AGNCN,AGNCN,AGNC,FF,,8.0,07/01/2025,10/15/2022,NONE,0.61,7.00%,,,1020.48,Reit,,87.0,,,,,,25.26,,,25.63,25.69,-1.43,-1.69,23.63,26.59,23.63,26.59,25.24,1.61,-1.35,62.296235,54.099472,69.114504,23.455979,-1.35,1.61,24.341737,80.25974,21843,23667,17390,20967
AGNCO,AGNCO,AGNC,FF,,8.0,07/01/2025,10/15/2024,NONE,0.6,6.50%,,,1020.48,Reit,,87.0,,,,,,25.18,,,25.34,25.23,-0.63,-0.2,23.68,25.95,20.85,25.95,25.16,1.48,-0.79,59.648324,49.608139,70.70229,17.568988,-0.79,4.31,18.067227,62.727273,31179,30593,24719,28830
AGNCP,AGNCP,AGNC,FF,,8.0,07/01/2025,4/15/2025,NONE,0.38,6.13%,,,1020.48,Reit,,87.0,,,,,,24.9,,,24.93,24.65,-0.11,1.02,23.37,25.48,19.61,25.48,24.89,1.52,-0.59,57.927182,45.930671,70.21374,15.466491,-0.59,5.28,15.826331,56.428571,37396,34955,41081,37810
AHL PRF,AHL-F,-,,,10.0,06/12/2025,11/30/2029,NONE,0.61,7.00%,,,-,-,,68.0,,,,,,24.0,,,,,,,21.28,26.21,21.28,26.21,23.85,2.57,-2.36,,,57.389313,34.073587,-2.36,2.57,35.658263,74.025974,28376,14384,10759,17840
ALL PRB,ALL-B,ALL,FF,,12.5,06/27/2025,1/15/2023,1/15/2053,0.48,5.10%,,,264.67,Insurance,,83.0,,,,,,25.69,,,25.92,26.0,-0.87,-1.17,25.01,27.0,25.01,27.0,25.65,0.64,-1.35,60.442698,52.532027,80.961832,23.455979,-1.35,0.64,24.341737,86.558442,26814,29673,25552,27346
ALL PRJ,ALL-J,ALL,,,12.0,06/27/2025,7/15/2028,NONE,0.46,7.38%,,25.29,264.67,Insurance,,83.0,,,,,,26.6,1.31,,26.61,26.97,-0.02,-1.36,25.56,27.95,25.15,28.22,26.56,1.0,-1.39,57.629293,53.104748,76.564885,23.876478,-1.66,1.41,27.815126,81.558442,35852,34442,27519,32604
ALTG PRA,ALTG-A,ALTG,,,8.0,07/11/2025,12/22/2025,NONE,0.63,10.00%,26.75,25.75,33.19,Rental&leasingservices,,7.0,,,,,,25.45,-0.3,-1.3,24.84,25.38,2.44,0.27,23.05,26.15,23.05,27.0,24.87,1.82,-1.28,49.486967,48.191409,66.549618,22.720105,-2.13,1.82,33.081232,78.896104,2340,3067,2776,2728
ANG PRB,ANG-B,-,FF,,9.0,05/16/2025,9/1/2025,NONE,0.41,6.63%,,,-,-,,41.0,,,,,,25.17,,,25.05,25.02,0.46,0.58,24.76,25.9,22.0,25.9,24.95,0.19,-0.95,56.040546,47.256971,86.458015,19.250986,-0.95,2.95,19.859944,71.558442,38450,58120,14677,37082
ANG PRD,ANG-D,-,,,9.0,06/30/2025,1/15/2030,,0.49,7.38%,,,-,-,,86.0,,,,,,26.11,,,,,,,23.54,26.54,23.54,26.54,26.09,2.55,-0.45,,,57.633588,13.994744,-0.45,2.55,14.257703,74.155844,39124,24579,18906,27536
AOMN,AOMN,AOMR,,BB,8.0,07/14/2025,7/30/2026,7/30/2029,0.59,9.50%,,,23.50,Reit,,10.0,,,,,,25.04,,,,,,,23.6,26.09,23.6,26.1,24.52,0.92,-1.57,,,77.541985,25.768725,-1.58,0.92,26.918768,84.74026,7942,7094,3666,6234
APOS,APOS,APO,NFF,,13.0,05/30/2025,12/15/2028,9/15/2053,0.48,7.63%,,,571.72,Assetmanagement,,55.0,,,,,,26.37,,,26.31,26.7,0.25,-1.23,24.89,27.61,24.89,27.77,26.18,1.29,-1.43,56.735623,52.712886,73.022901,24.296978,-1.59,1.29,27.030812,82.337662,28924,35762,27999,30895
AQNB,AQNB,AQN,FF,,9.0,06/13/2025,7/1/2024,7/1/2079,0.55,6.20%,,,789.65,Utilities,,69.0,,,,,,25.63,,,25.39,25.48,0.95,0.59,24.59,26.09,22.71,26.5,25.5,0.91,-0.59,54.418701,47.226827,77.664122,15.466491,-1.0,2.79,20.420168,72.597403,22106,25655,29652,25804
ARGD,ARGD,-,,BB,9.5,05/30/2025,9/15/2017,9/15/2042,0.41,6.50%,24.35,21.31,-,-,,55.0,,,,,,20.24,-1.07,-4.11,20.5,21.59,-1.28,-6.24,19.19,22.71,19.19,24.24,20.08,0.89,-2.63,61.799752,67.814619,77.908397,36.911958,-4.16,0.89,55.826331,84.935065,7183,6632,7631,7149
ARGO PRA,ARGO-A,-,NFF,,8.5,05/27/2025,9/15/2025,NONE,0.44,7.00%,,,-,-,,52.0,,,,,,25.14,,,25.03,24.95,0.42,0.77,24.59,25.36,20.76,25.49,24.95,0.36,-0.41,56.172942,46.68425,84.381679,13.574244,-0.54,4.19,15.266106,63.506494,15734,16987,14458,15726
ARR PRC,ARR-C,ARR,,,8.0,05/15/2025,1/28/2025,,0.15,7.00%,22.6,18.06,81.90,Reit,,40.0,,,,,,21.06,3.0,-1.54,20.9,21.64,0.77,-2.68,19.27,23.58,17.85,23.58,20.98,1.71,-2.6,55.014481,57.083647,67.89313,36.596583,-2.6,3.13,38.347339,70.38961,10313,9689,10056,10020
ASBA,ASBA,ASB,NFF,,11.0,05/15/2025,3/1/2028,3/1/2033,0.41,6.63%,,,165.95,Regionalbank,,40.0,,,,,,23.97,,,24.06,24.19,-0.36,-0.91,22.99,25.3,18.82,25.3,23.74,0.75,-1.56,58.754655,51.748304,79.618321,25.663601,-1.56,4.92,26.694678,58.766234,17098,14281,11946,14442
ATCO PRD,ATCO-D,-,,,8.0,07/25/2025,1/30/2018,NONE,0.5,7.95%,25.27,23.86,-,-,,21.0,,,,,,25.35,1.5,0.09,25.05,25.1,1.25,1.02,24.14,25.98,22.11,25.98,24.98,0.84,-1.0,53.425734,45.930671,78.519084,19.77661,-1.0,2.87,20.420168,72.077922,4832,6354,10693,7293
ATCO PRH,ATCO-H,-,,,8.0,07/25/2025,8/11/2021,NONE,0.49,7.88%,24.95,22.38,-,-,,21.0,,,,,,25.51,3.13,0.56,24.89,24.94,2.5,2.28,23.78,27.47,21.36,27.47,25.13,1.35,-2.34,49.288374,42.13263,72.290076,33.863338,-2.34,3.77,35.434174,66.233766,11658,14337,24949,16982
ATCOL,ATCOL,-,,,8.0,07/15/2025,5/13/2023,10/30/2027,0.45,7.13%,,,-,-,,11.0,,,,,,25.32,,,24.96,25.04,1.44,1.11,22.45,25.33,22.45,25.9,24.93,2.48,-0.4,52.796856,45.659382,58.48855,13.46912,-0.97,2.48,20.084034,74.61039,2074,2592,2985,2550
ATH PRA,ATH-A,-,NFF,,11.5,06/13/2025,6/30/2029,NONE,0.4,6.35%,,,-,-,,69.0,,,,,,24.9,,,24.15,24.56,3.09,1.37,21.6,25.71,19.81,25.71,24.81,3.21,-0.9,47.33554,44.875659,49.572519,18.725361,-0.9,5.0,19.29972,58.246753,38939,39289,51949,43393
ATH PRC,ATH-C,-,NFF,,11.5,06/13/2025,9/30/2025,NONE,0.4,6.38%,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATH PRE,ATH-E,-,NFF,,11.5,06/13/2025,12/30/2027,NONE,0.48,7.75%,,,-,-,,69.0,,,,,,26.3,,,25.64,26.19,2.58,0.41,24.17,27.5,23.77,27.5,26.19,2.02,-1.31,49.023583,47.769405,64.10687,23.03548,-1.31,2.42,23.893557,75.0,23143,26575,46267,31995
ATHS,ATHS,-,NFF,,12.0,06/12/2025,3/30/2029,3/30/2064,0.45,7.25%,,,-,-,,68.0,,,,,,25.13,,,25.09,25.33,0.18,-0.78,24.01,26.25,24.01,26.25,25.02,1.01,-1.23,56.967315,51.356443,76.442748,22.194481,-1.23,1.01,22.997199,84.155844,45754,45801,39330,43629
ATLCL,ATLCL,ATLC,,,8.0,07/11/2025,10/2/2026,12/31/2026,0.38,6.13%,24.52,21.61,15.11,Creditservices,,7.0,,,,,,24.34,2.73,-0.18,24.1,23.68,0.98,2.78,23.29,24.76,20.62,24.76,23.99,0.7,-0.77,54.319404,40.625471,80.229008,17.358739,-0.77,3.37,17.843137,68.831169,5399,6436,5421,5752
ATLCP,ATLCP,ATLC,,,8.0,05/30/2025,6/11/2026,NONE,0.48,7.63%,24.15,20.61,15.11,Creditservices,,55.0,,,,,,22.04,1.43,-2.11,22.87,23.04,-3.64,-4.33,21.66,24.5,18.51,24.8,21.85,0.19,-2.65,69.611088,62.057272,86.458015,37.122208,-2.95,3.34,42.268908,69.025974,4736,5271,9687,6565
ATLCZ,ATLCZ,ATLC,,BB,8.0,07/01/2025,1/31/2028,1/31/2029,0.58,9.25%,,,15.11,Creditservices,,87.0,,,,,,24.9,,,25.01,25.01,-0.5,-0.47,23.4,25.5,23.4,25.5,24.87,1.47,-0.63,59.218039,50.422005,70.824427,15.886991,-0.63,1.47,16.27451,81.168831,23613,19129,21902,21548
AUB PRA,AUB-A,AUB,,,8.0,05/16/2025,9/1/2025,NONE,0.43,6.88%,26.14,19.25,142.37,Regionalbank,,41.0,,,,,,23.95,4.7,-2.19,24.23,24.35,-1.15,-1.65,22.86,25.93,19.21,25.93,23.72,0.86,-2.21,61.369466,53.9789,78.274809,32.496715,-2.21,4.51,33.977591,61.428571,13763,10454,8140,10786
BAC PRE,BAC-E,BAC,FLR,,11.0,07/25/2025,11/15/2011,NONE,0.31,4.00%,,,7537.21,Bank,,21.0,,,,,,21.73,,,22.17,23.44,-1.97,-7.28,20.81,25.5,19.52,25.5,21.49,0.68,-4.01,64.083575,70.94951,80.473282,51.419185,-4.01,1.97,54.145658,77.922078,19578,25874,32571,26007
BANC PRF,BANC-F,BANC,NFF,,8.0,05/19/2025,9/1/2027,NONE,0.49,7.75%,,,169.33,Regionalbank,,44.0,,,,,,24.7,,,24.68,24.43,0.08,1.1,23.51,25.6,20.94,25.6,24.45,0.94,-1.15,57.298304,45.689525,77.29771,21.353482,-1.15,3.51,22.10084,67.922078,41464,33026,24142,32877
BANFP,BANFP,BANF,,TP,8.0,06/27/2025,3/21/2009,3/31/2034,0.45,7.20%,27.53,27.0,33.23,Regionalbank,,83.0,,,,,,25.9,-1.1,-1.63,26.04,25.86,-0.53,0.15,25.45,29.45,24.7,29.45,25.86,0.41,-3.59,59.317336,48.553127,83.770992,47.003942,-3.59,1.16,49.439776,83.181818,540,423,253,405
BC PRA,BC-A,BC,,BB,11.5,06/29/2025,10/15/2023,10/15/2048,0.4,6.50%,26.22,22.5,65.69,Consumercyclical,,85.0,,,,,,24.19,1.68,-2.04,23.69,24.41,2.06,-0.94,22.58,25.43,22.09,25.92,24.16,1.58,-1.27,50.744725,51.838734,69.480916,22.61498,-1.76,2.07,28.935574,77.272727,7898,8821,9028,8582
BC PRC,BC-C,BC,,BB,11.5,06/29/2025,4/15/2024,4/15/2049,0.39,6.38%,25.99,22.33,65.69,Consumercyclical,,85.0,,,,,,24.05,1.72,-1.94,23.36,24.29,2.96,-0.98,22.0,25.43,21.76,25.77,24.03,2.03,-1.4,47.765825,51.959307,63.984733,23.981603,-1.74,2.27,28.711485,75.974026,13932,17092,25127,18717
BK PRK,BK-K,BK,NFF,,12.5,06/05/2025,3/20/2030,NONE,0.41,6.15%,,,715.58,Bank,,61.0,,,,,,25.85,,,,,,,24.54,25.94,24.54,25.94,25.72,1.18,-0.22,,,74.366412,11.576873,-0.22,1.18,11.680672,83.051948,201561,201561,90874,164665
BML PRG,BML-G,BAC,FLR,,11.0,05/15/2025,11/28/2009,NONE,0.33,3.00%,,,7537.21,Bank,,40.0,,,,,,20.86,,,21.44,22.29,-2.69,-6.42,20.25,23.5,19.75,23.68,20.68,0.43,-2.82,66.466694,68.357197,83.526718,38.90933,-3.0,0.93,42.829132,84.675325,5760,4188,6592,5513
BML PRH,BML-H,BAC,FLR,,11.0,05/15/2025,11/28/2009,NONE,0.32,3.00%,,,7537.21,Bank,,40.0,,,,,,20.31,,,21.24,22.19,-4.39,-8.48,19.73,23.45,19.17,23.45,20.13,0.4,-3.32,72.093504,74.566692,83.89313,44.165572,-3.32,0.96,46.414566,84.480519,16486,17504,23217,19069
BML PRJ,BML-J,BAC,FLR,,11.0,05/15/2025,11/21/2010,NONE,0.33,4.00%,,,7537.21,Bank,,40.0,,,,,,21.88,,,22.45,23.09,-2.54,-5.24,20.7,24.55,20.22,24.69,21.7,1.0,-2.85,65.970211,64.800301,76.564885,39.224704,-2.99,1.48,42.717087,81.103896,16360,15941,10207,14170
BML PRL,BML-L,BAC,FLR,,11.0,07/01/2025,5/21/2010,NONE,0.32,4.00%,,,7537.21,Bank,,87.0,,,,,,20.54,,,21.61,22.83,-4.97,-10.02,19.8,24.75,19.68,24.77,20.53,0.73,-4.22,74.01324,79.208742,79.862595,53.626807,-4.24,0.85,56.722689,85.194805,21664,24134,38392,28063
BOH PRB,BOH-B,BOH,,,9.5,07/14/2025,8/1/2029,NONE,0.5,8.00%,,,39.66,Regionalbank,,10.0,,,,,,26.06,,,,,,,24.81,27.13,24.81,27.13,25.62,0.81,-1.51,,,78.885496,25.137976,-1.51,0.81,26.134454,85.454545,19847,17489,14510,17282
BPOPM,BPOPM,BPOP,,TP,7.0,05/15/2025,12/1/2009,12/1/2034,0.13,6.13%,27.2,24.51,69.37,Regionalbank,,40.0,,,,,,25.1,0.59,-2.1,25.35,25.49,-1.0,-1.52,24.53,26.09,24.38,26.25,25.03,0.5,-1.06,60.872983,53.587038,82.671756,20.407359,-1.22,0.65,22.885154,86.493506,2224,2372,3505,2700
C PRN,C-N,C,FF,,10.0,07/25/2025,10/30/2015,10/30/2040,0.68,7.88%,,,1868.19,Bank,,21.0,,,,,,30.05,,,29.69,29.94,1.23,0.38,28.36,31.34,27.82,31.34,29.53,1.17,-1.81,53.491932,47.859834,74.48855,28.291721,-1.81,1.71,29.495798,79.61039,107581,124750,113392,115241
CCIA,CCIA,CCIF,,Term,8.0,05/19/2025,10/31/2025,10/31/2028,0.18,8.75%,,,15.39,Cef,,44.0,,,,,,25.7,,,25.59,25.8,0.43,-0.37,25.0,27.79,24.1,27.79,25.61,0.61,-2.18,56.139843,50.120573,81.328244,32.18134,-2.18,1.51,33.641457,80.909091,4365,5315,3491,4390
CFG PRH,CFG-H,CFG,,,10.5,06/20/2025,7/6/2029,NONE,0.46,7.38%,,,433.40,Regionalbank,,76.0,,,,,,26.42,,,26.12,26.42,1.16,-0.02,24.95,27.69,24.95,27.69,26.35,1.4,-1.34,53.723624,49.065561,71.679389,23.350854,-1.34,1.4,24.229692,81.623377,27606,27213,26771,27197
CGBDL,CGBDL,CGBD,,,8.0,05/15/2025,,,0.51,,,,72.90,Assetmanagement,,40.0,,,,,,25.9,,,25.65,25.67,0.97,0.89,25.05,26.66,25.05,26.66,25.62,0.57,-1.04,54.352503,46.322532,81.816794,20.197109,-1.04,0.57,20.868347,87.012987,8288,5670,4660,6206
CHMI PRA,CHMI-A,CHMI,,,8.0,06/27/2025,8/17/2022,NONE,0.51,8.20%,22.65,19.6,32.66,Reit,,83.0,,,,,,20.85,1.25,-1.8,21.37,22.6,-2.42,-7.73,19.2,24.4,17.75,25.0,20.81,1.61,-3.59,65.573024,72.305953,69.114504,47.003942,-4.19,3.06,56.162465,70.844156,2787,2543,3303,2878
CHMI PRB,CHMI-B,CHMI,FF,,8.0,06/27/2025,4/5/2024,NONE,0.64,8.25%,,,32.66,Reit,,83.0,,,,,,23.61,,,24.06,24.54,-1.88,-3.78,22.23,25.1,20.2,25.6,23.56,1.33,-1.54,63.785685,60.399397,72.534351,25.453351,-2.04,3.36,32.072829,68.896104,4094,3534,1590,3072
CHSCL,CHSCL,-,,,8.0,06/13/2025,1/21/2025,NONE,0.47,7.50%,27.3,25.07,-,-,,69.0,,,,,,25.43,0.36,-1.87,25.67,25.85,-0.94,-1.64,25.15,26.42,24.92,26.63,25.32,0.17,-1.1,60.67439,53.948757,86.70229,20.827858,-1.31,0.4,23.893557,88.116883,22421,24992,25431,24281
CHSCM,CHSCM,-,,,8.0,06/13/2025,9/30/2024,NONE,0.42,6.75%,26.4,24.05,-,-,,69.0,,,,,,24.02,-0.03,-2.38,24.68,25.07,-2.67,-4.2,23.72,25.97,23.51,26.19,23.92,0.2,-2.05,66.400496,61.665411,86.335878,30.814717,-2.27,0.41,34.64986,88.051948,18517,19543,26738,21600
CHSCN,CHSCN,-,,,8.0,06/13/2025,3/31/2024,NONE,0.44,7.10%,26.3,24.62,-,-,,69.0,,,,,,24.76,0.14,-1.54,25.16,25.49,-1.59,-2.88,24.35,26.39,24.35,26.9,24.66,0.31,-1.73,62.825817,57.686511,84.992366,27.450723,-2.24,0.31,34.313725,88.701299,14771,16293,27795,19620
CHSCO,CHSCO,-,,,8.0,06/13/2025,9/26/2023,NONE,0.49,7.88%,28.31,25.64,-,-,,69.0,,,,,,26.21,0.57,-2.1,26.39,26.67,-0.7,-1.73,25.6,27.4,25.46,27.73,26.1,0.5,-1.3,59.880017,54.220045,82.671756,22.930355,-1.63,0.64,27.478992,86.558442,18574,19936,28185,22232
CICB,CICB,CION,,,8.0,06/12/2025,12/30/2026,12/30/2029,0.47,7.50%,,,52.69,Assetmanagement,,68.0,,,,,,24.75,,,,,,,24.32,26.03,24.32,163.1,24.64,0.32,-1.39,,,84.870229,23.876478,-138.46,0.32,,88.636364,16802,7784,5640,10075
CIM PRB,CIM-B,CIM,FF,,8.0,06/02/2025,3/30/2024,NONE,0.65,8.00%,,,80.92,Reit,,58.0,,,,,,25.05,,,24.34,24.75,2.92,1.21,21.6,25.59,19.64,25.59,24.82,3.22,-0.77,47.898221,45.35795,49.450382,17.358739,-0.77,5.18,17.843137,57.077922,26378,34056,25635,28690
CIM PRC,CIM-C,CIM,NFF,,8.0,06/02/2025,9/30/2025,NONE,0.48,7.75%,,,80.92,Reit,,58.0,,,,,,22.77,,,22.65,22.87,0.54,-0.44,20.26,24.6,17.11,24.6,22.6,2.34,-2.0,55.775755,50.331575,60.198473,30.289093,-2.0,5.49,31.62465,55.064935,17154,15969,12407,15177
CIM PRD,CIM-D,CIM,FF,,8.0,06/02/2025,3/30/2024,NONE,0.64,8.00%,,,80.92,Reit,,58.0,,,,,,24.46,,,24.05,24.47,1.68,-0.04,20.77,25.21,19.91,25.25,24.23,3.46,-0.98,52.002482,49.125848,46.519084,19.56636,-1.02,4.32,20.644258,62.662338,19904,19077,14994,17992
CIMN,CIMN,CIM,,BB,8.0,07/30/2025,5/15/2026,5/15/2029,0.56,9.00%,,,80.92,Reit,,26.0,,,,,,25.23,,,24.9,25.14,1.31,0.35,23.62,25.74,23.62,25.85,24.83,1.21,-0.91,53.227141,47.950264,74.0,18.830486,-1.02,1.21,20.644258,82.857143,9726,8521,5206,7817
CIMO,CIMO,CIM,,,8.0,07/30/2025,8/15/2026,8/15/2029,0.58,9.25%,,,80.92,Reit,,26.0,,,,,,25.41,,,,,,,24.12,25.9,24.12,26.25,25.0,0.88,-0.9,,,78.030534,18.725361,-1.25,0.88,23.221289,85.0,12894,10628,3265,8929
CMRE PRB,CMRE-B,CMRE,,,8.0,07/10/2025,8/6/2018,NONE,0.48,7.63%,25.18,24.82,119.96,Marineshipping,,6.0,,,,,,25.1,0.28,-0.08,25.29,25.63,-0.77,-2.08,24.02,26.25,22.13,28.16,24.65,0.63,-1.6,60.111709,55.275057,81.083969,26.0841,-3.51,2.52,48.543417,74.350649,2043,2727,3925,2898
CMRE PRC,CMRE-C,CMRE,,,8.0,07/10/2025,1/21/2019,NONE,0.53,8.50%,25.32,25.17,119.96,Marineshipping,,6.0,,,,,,25.9,0.72,0.57,25.85,26.08,0.15,-0.75,25.05,26.94,24.5,27.19,25.4,0.35,-1.54,57.066612,51.266014,84.503817,25.453351,-1.79,0.9,29.271709,84.87013,3335,4133,3563,3677
CMRE PRD,CMRE-D,CMRE,,,8.0,07/10/2025,5/13/2020,NONE,0.55,8.75%,25.83,25.07,119.96,Marineshipping,,6.0,,,,,,26.42,1.36,0.6,26.25,26.31,0.7,0.45,24.54,27.01,24.54,27.29,25.92,1.38,-1.09,55.246173,47.648832,71.923664,20.722733,-1.37,1.38,24.565826,81.753247,3008,2824,2198,2677
CNOBP,CNOBP,CNOB,NFF,,8.0,05/15/2025,9/1/2026,NONE,0.33,5.25%,,,38.47,Regionalbank,,40.0,,,,,,22.94,,,22.52,21.8,1.85,5.24,20.6,23.42,15.86,23.42,22.76,2.16,-0.66,51.439801,33.210249,62.396947,16.202365,-0.66,6.9,16.610644,45.909091,5247,6109,3872,5076
CODI PRA,CODI-A,CODI,,,8.0,06/17/2025,7/30/2022,NONE,0.45,7.25%,25.08,22.03,75.24,Conglomerates,,73.0,,,,,,17.28,-4.75,-7.8,19.16,22.44,-9.8,-22.99,10.88,24.88,10.88,26.06,17.2,6.32,-7.68,90.0,,11.587786,90.0,-8.86,6.32,,49.675325,12896,16162,11320,13459
CODI PRB,CODI-B,CODI,FF,,8.0,06/17/2025,4/30/2028,NONE,0.49,7.88%,26.85,23.5,75.24,Conglomerates,,73.0,,,,,,18.75,-4.75,-8.1,20.09,22.89,-6.65,-18.1,12.75,24.6,12.75,25.87,18.66,5.91,-5.94,79.573852,,16.59542,71.708279,-7.21,5.91,90.0,52.337662,46030,54907,32787,44575
CODI PRC,CODI-C,CODI,FF,,8.0,06/17/2025,1/30/2025,NONE,0.49,7.88%,25.79,23.89,75.24,Conglomerates,,73.0,,,,,,18.98,-4.91,-6.81,20.17,22.97,-5.89,-17.35,12.44,25.18,12.44,25.69,18.89,6.45,-6.29,77.058337,,10.0,75.387648,-6.8,6.45,85.406162,48.831169,46195,55031,38124,46450
CRBD,CRBD,CRBG,,,11.0,05/30/2025,12/15/2029,12/15/2064,0.4,6.38%,,,550.13,Assetmanagement,,55.0,,,,,,23.5,,,,,,,19.76,31.75,19.76,31.75,23.34,3.58,-8.41,,,45.053435,,-8.41,3.58,,67.467532,101956,50684,50899,67846
CSWCZ,CSWCZ,CSWC,,BB,8.0,07/15/2025,8/1/2025,8/1/2028,0.48,7.75%,,25.05,50.37,Assetmanagement,,11.0,,,,,,25.61,0.56,,25.55,25.7,0.24,-0.34,25.03,26.17,24.79,26.48,25.19,0.16,-0.98,56.768722,50.030143,86.824427,19.56636,-1.29,0.4,23.669468,88.116883,3268,3166,1817,2750
