"PREF IBKR","CMON","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CGRUP","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","TIME TO DIV","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","Aug4_chg","Oct19_chg","Aug4_chg_norm","Oct19_chg_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm","ADV_6M","ADV_3M","ADV_15D","AVG_ADV","SOLIDITY_SCORE","CUR_YIELD","FINAL_THG","SOLIDITY_WEIGHT_USED","YIELD_WEIGHT_USED"
"ACGLN","ACGL","","12","12/13/2024","","","0.2800","4.5500","21.7000","16.6200","c450","17.1500","0.5300","-4.5500","17.3600","18.8600","-1.1800","-9.0700","16.4400","20.9900","16.4400","21.2200","73.0000","17.1000","0.6600","-3.8900","52.5500","67.2400","70.3000","52.7500","-4.6000","0.4800","61.1300","68.1700","-4.1200","0.6600","54.0700","82.7400","33071.0000","32833.0000","35307.0000","33737.0000","66.9900","0.0665","436.5800","1.1200","2103.8600"
"ACGLO","ACGL","","11.5","12/13/2024","","","0.3400","5.4500","24.9300","19.3400","c550","20.7000","1.3600","-4.2300","20.7600","22.0700","-0.3100","-6.1900","19.9900","23.8200","19.2000","24.5000","73.0000","20.6400","0.6500","-3.1800","48.3200","55.1400","70.5300","43.4600","-4.2900","1.3000","58.4300","60.8300","-3.8600","1.4400","50.6600","74.9800","19885.0000","18509.0000","14436.0000","17610.0000","66.9900","0.0660","411.6200","1.1200","2103.8600"
"ACP PRA","ACP","","15","12/16/2024","","","0.3300","5.2500","24.6100","21.4700","c525","20.6000","-0.8700","-4.0100","21.3600","22.9000","-3.5400","-10.0600","20.0500","25.0000","19.6500","26.3300","76.0000","20.5500","0.5000","-4.4500","64.0100","71.4000","74.0900","60.0700","-4.0600","-0.9200","56.4300","80.6900","-5.7800","0.9000","75.8400","80.3500","2037.0000","1795.0000","1978.0000","1936.0000","56.0900","0.0639","443.2700","1.1200","2103.8600"
"ADC PRA","ADC","","11","10/22/2024","","","0.2700","4.2500","20.9200","15.8300","c425","16.9500","1.1200","-3.9700","17.4300","18.4600","-2.7400","-8.1800","16.9100","21.9400","15.7100","21.9400","21.0000","16.7400","-0.1700","-5.2000","60.1300","63.5000","90.0000","69.8700","-4.1800","0.9100","57.4800","64.3200","-5.2000","1.0300","68.2300","79.0500","15340.0000","11999.0000","9936.0000","12425.0000","65.3200","0.0635","443.9800","1.1200","2103.8600"
"AEFC","AEG","BB","12.5","11/29/2024","12/15/2024","","0.3200","5.1000","24.3200","18.5600","c500","19.7200","1.1600","-4.6000","20.0300","21.0300","-1.5300","-6.2200","18.6100","22.7000","18.2400","22.9000","59.0000","19.6100","1.0000","-3.0900","54.2500","55.2700","62.2300","42.2900","-4.7100","1.0500","62.0900","63.0600","-3.2900","1.3700","43.1800","75.6700","37485.0000","43497.0000","34566.0000","38516.0000","35.7600","0.0650","373.9300","1.1200","2103.8600"
"AFGC","AFG","BB","11.5","11/29/2024","","","0.3200","5.1300","26.2200","18.4600","c500","19.0200","0.5600","-7.2000","19.1200","20.7100","-0.5000","-8.1500","18.0100","23.4200","18.0100","23.4200","59.0000","18.9100","0.9000","-4.5100","49.2500","63.3800","64.6000","60.8500","-7.3100","0.4500","84.7000","68.4300","-4.5100","0.9000","59.1800","80.3500","6187.0000","5388.0000","7524.0000","6366.0000","64.8000","0.0678","437.2400","1.1200","2103.8600"
"AFGD","AFG","BB","11.5","11/15/2024","","","0.3500","5.6300","25.5600","20.3600","c550","20.4700","0.1100","-5.0900","20.7500","22.7100","-1.3500","-9.8600","18.1900","25.3700","18.1900","25.6100","45.0000","20.2900","2.1000","-5.0800","53.3800","70.5600","36.1100","68.3000","-5.2700","-0.0700","66.9600","73.0900","-5.3200","2.1000","69.8000","68.4100","7274.0000","7007.0000","6548.0000","6943.0000","64.8000","0.0694","439.2900","1.1200","2103.8600"
"AGM PRD","AGM","","NR","12/27/2024","","","0.3600","5.7000","25.2800","21.0400","c550","21.4100","0.3700","-3.8700","21.9700","22.8800","-2.5400","-6.4100","20.9200","24.8600","20.2600","25.7000","87.0000","21.4000","0.4800","-3.4600","59.1600","56.0700","74.5700","47.1200","-3.8800","0.3600","54.8700","69.2400","-4.3000","1.1400","56.4300","77.9600","4367.0000","4428.0000","6988.0000","5261.0000","50.7400","0.0666","410.1000","1.1200","2103.8600"
"AGM PRE","AGM","","NR","12/27/2024","","","0.3600","5.7500","24.9000","21.5500","c550","21.5700","0.0200","-3.3300","22.0300","23.0000","-2.0900","-6.2200","21.2500","24.4000","20.3100","24.9300","87.0000","21.5600","0.3100","-2.8400","56.9700","55.2700","78.6100","39.0200","-3.3400","0.0100","50.1700","72.3700","-3.3700","1.2500","44.2300","76.8700","3635.0000","1923.0000","2617.0000","2725.0000","50.7400","0.0667","402.3200","1.1200","2103.8600"
"AGM PRF","AGM","","NR","12/27/2024","","","0.3300","5.2500","22.5000","19.9000","c525","19.4400","-0.4600","-3.0600","20.2900","21.1700","-4.1800","-8.1900","19.2600","23.3400","17.8200","23.9900","87.0000","19.4300","0.1700","-3.9100","67.1200","63.5400","81.9300","53.0100","-3.0700","-0.4700","47.8300","76.6700","-4.5600","1.6100","59.8400","73.2800","9180.0000","8152.0000","9428.0000","8920.0000","50.7400","0.0676","428.7500","1.1200","2103.8600"
