PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CGRUP,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,CUR_YIELD,FINAL_THG,SOLIDITY_WEIGHT_USED,YIELD_WEIGHT_USED,Group
ACGLN,ACGL,,12,12/13/2024,,,0.28,4.55,21.7,16.62,c450,17.15,0.53,-4.55,17.36,18.86,-1.18,-9.07,16.44,20.99,16.44,21.22,73.0,17.1,0.66,-3.89,52.55,67.24,70.3,52.75,-4.6,0.48,61.13,68.17,-4.12,0.66,54.07,82.74,33071.0,32833.0,35307.0,33737.0,66.99,0.0665,436.58,1.12,2103.86,9
ACGLO,ACGL,,11.5,12/13/2024,,,0.34,5.45,24.93,19.34,c550,20.7,1.36,-4.23,20.76,22.07,-0.31,-6.19,19.99,23.82,19.2,24.5,73.0,20.64,0.65,-3.18,48.32,55.14,70.53,43.46,-4.29,1.3,58.43,60.83,-3.86,1.44,50.66,74.98,19885.0,18509.0,14436.0,17610.0,66.99,0.066,411.62,1.12,2103.86,9
ACP PRA,ACP,,15,12/16/2024,,,0.33,5.25,24.61,21.47,c525,20.6,-0.87,-4.01,21.36,22.9,-3.54,-10.06,20.05,25.0,19.65,26.33,76.0,20.55,0.5,-4.45,64.01,71.4,74.09,60.07,-4.06,-0.92,56.43,80.69,-5.78,0.9,75.84,80.35,2037.0,1795.0,1978.0,1936.0,56.09,0.0639,443.27,1.12,2103.86,11
ADC PRA,ADC,,11,10/22/2024,,,0.27,4.25,20.92,15.83,c425,16.95,1.12,-3.97,17.43,18.46,-2.74,-8.18,16.91,21.94,15.71,21.94,21.0,16.74,-0.17,-5.2,60.13,63.5,90.0,69.87,-4.18,0.91,57.48,64.32,-5.2,1.03,68.23,79.05,15340.0,11999.0,9936.0,12425.0,65.32,0.0635,443.98,1.12,2103.86,5
AEFC,AEG,BB,12.5,11/29/2024,12/15/2024,,0.32,5.1,24.32,18.56,c500,19.72,1.16,-4.6,20.03,21.03,-1.53,-6.22,18.61,22.7,18.24,22.9,59.0,19.61,1.0,-3.09,54.25,55.27,62.23,42.29,-4.71,1.05,62.09,63.06,-3.29,1.37,43.18,75.67,37485.0,43497.0,34566.0,38516.0,35.76,0.065,373.93,1.12,2103.86,9
AFGC,AFG,BB,11.5,11/29/2024,,,0.32,5.13,26.22,18.46,c500,19.02,0.56,-7.2,19.12,20.71,-0.5,-8.15,18.01,23.42,18.01,23.42,59.0,18.91,0.9,-4.51,49.25,63.38,64.6,60.85,-7.31,0.45,84.7,68.43,-4.51,0.9,59.18,80.35,6187.0,5388.0,7524.0,6366.0,64.8,0.0678,437.24,1.12,2103.86,2
AFGD,AFG,BB,11.5,11/15/2024,,,0.35,5.63,25.56,20.36,c550,20.47,0.11,-5.09,20.75,22.71,-1.35,-9.86,18.19,25.37,18.19,25.61,45.0,20.29,2.1,-5.08,53.38,70.56,36.11,68.3,-5.27,-0.07,66.96,73.09,-5.32,2.1,69.8,68.41,7274.0,7007.0,6548.0,6943.0,64.8,0.0694,439.29,1.12,2103.86,5
AGM PRD,AGM,,NR,12/27/2024,,,0.36,5.7,25.28,21.04,c550,21.41,0.37,-3.87,21.97,22.88,-2.54,-6.41,20.92,24.86,20.26,25.7,87.0,21.4,0.48,-3.46,59.16,56.07,74.57,47.12,-3.88,0.36,54.87,69.24,-4.3,1.14,56.43,77.96,4367.0,4428.0,6988.0,5261.0,50.74,0.0666,410.1,1.12,2103.86,5
AGM PRE,AGM,,NR,12/27/2024,,,0.36,5.75,24.9,21.55,c550,21.57,0.02,-3.33,22.03,23.0,-2.09,-6.22,21.25,24.4,20.31,24.93,87.0,21.56,0.31,-2.84,56.97,55.27,78.61,39.02,-3.34,0.01,50.17,72.37,-3.37,1.25,44.23,76.87,3635.0,1923.0,2617.0,2725.0,50.74,0.0667,402.32,1.12,2103.86,11
AGM PRF,AGM,,NR,12/27/2024,,,0.33,5.25,22.5,19.9,c525,19.44,-0.46,-3.06,20.29,21.17,-4.18,-8.19,19.26,23.34,17.82,23.99,87.0,19.43,0.17,-3.91,67.12,63.54,81.93,53.01,-3.07,-0.47,47.83,76.67,-4.56,1.61,59.84,73.28,9180.0,8152.0,9428.0,8920.0,50.74,0.0676,428.75,1.12,2103.86,3
