PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CGRUP,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV
ACGLN,ACGL,,12,12/13/2024,,,0.28,4.55%,21.7,16.62,c450,17.15,0.53,-4.55,17.36,18.86,-1.18,-9.07,16.44,20.99,16.44,21.22,73.0,17.1,0.66,-3.89,52.550091,67.238845,70.296736,52.745098,-4.6,0.48,61.130435,68.165548,-4.12,0.66,54.065574,82.736318,33071,32833,35307,33737
ACGLO,ACGL,,11.5,12/13/2024,,,0.34,5.45%,24.93,19.34,c550,20.7,1.36,-4.23,20.76,22.07,-0.31,-6.19,19.99,23.82,19.2,24.5,73.0,20.64,0.65,-3.18,48.324226,55.144357,70.534125,43.464052,-4.29,1.3,58.434783,60.82774,-3.86,1.44,50.655738,74.975124,19885,18509,14436,17610
ACP PRA,ACP,,15,12/16/2024,,,0.33,5.25%,24.61,21.47,c525,20.6,-0.87,-4.01,21.36,22.9,-3.54,-10.06,20.05,25.0,19.65,26.33,76.0,20.55,0.5,-4.45,64.013358,71.396325,74.094955,60.065359,-4.06,-0.92,56.434783,80.693512,-5.78,0.9,75.836066,80.348259,2037,1795,1978,1936
ADC PRA,ADC,,11,10/22/2024,,,0.27,4.25%,20.92,15.83,c425,16.95,1.12,-3.97,17.43,18.46,-2.74,-8.18,16.91,21.94,15.71,21.94,21.0,16.74,-0.17,-5.2,60.127505,63.501312,90.0,69.869281,-4.18,0.91,57.478261,64.317673,-5.2,1.03,68.229508,79.054726,15340,11999,9936,12425
AEFC,AEG,BB,12.5,11/29/2024,12/15/2024,,0.32,5.10%,24.32,18.56,c500,19.72,1.16,-4.6,20.03,21.03,-1.53,-6.22,18.61,22.7,18.24,22.9,59.0,19.61,1.0,-3.09,54.250152,55.270341,62.225519,42.287582,-4.71,1.05,62.086957,63.064877,-3.29,1.37,43.180328,75.671642,37485,43497,34566,38516
AFGB,AFG,BB,11.5,12/13/2024,,,0.37,5.88%,26.83,21.4,c575,,-0.11,-5.54,21.58,23.2,-1.35,-8.25,20.47,25.05,20.47,25.27,73.0,21.22,0.75,-3.83,53.375835,63.795276,68.160237,51.960784,-5.61,-0.18,69.913043,74.071588,-4.05,0.75,53.147541,81.840796,7514,8899,7721,8045
AFGC,AFG,BB,11.5,11/29/2024,,,0.32,5.13%,26.22,18.46,c500,19.02,0.56,-7.2,19.12,20.71,-0.5,-8.15,18.01,23.42,18.01,23.42,59.0,18.91,0.9,-4.51,49.247116,63.375328,64.599407,60.849673,-7.31,0.45,84.695652,68.434004,-4.51,0.9,59.180328,80.348259,6187,5388,7524,6366
AFGD,AFG,BB,11.5,11/15/2024,,,0.35,5.63%,25.56,20.36,c550,20.47,0.11,-5.09,20.75,22.71,-1.35,-9.86,18.19,25.37,18.19,25.61,45.0,20.29,2.1,-5.08,53.375835,70.55643,36.11276,68.300654,-5.27,-0.07,66.956522,73.087248,-5.32,2.1,69.803279,68.40796,7274,7007,6548,6943
AFGE,AFG,BB,11.5,11/29/2024,,,0.28,4.50%,22.31,16.58,c450,,0.33,-5.4,16.99,18.58,-0.48,-8.97,16.11,20.77,16.11,21.78,59.0,16.81,0.7,-3.96,49.14997,66.818898,69.347181,53.660131,-5.5,0.23,68.956522,70.402685,-4.97,0.7,65.213115,82.338308,7572,7410,8651,7877
AGM PRD,AGM,,NR,12/27/2024,,,0.36,5.70%,25.28,21.04,c550,21.41,0.37,-3.87,21.97,22.88,-2.54,-6.41,20.92,24.86,20.26,25.7,87.0,21.4,0.48,-3.46,59.156041,56.068241,74.569733,47.124183,-3.88,0.36,54.869565,69.239374,-4.3,1.14,56.42623,77.960199,4367,4428,6988,5261
