PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV
ABLLL,ABLLL,ABL,,BB,8.0,05/13/2025,2/15/2027,11/15/2028,0.62,9.88%,,,95.62,Insurance,,70.0,,,,,,24.25,,,25.99,26.23,-2.03,-2.94,24.09,38.5,24.09,38.5,25.32,1.23,-13.18,48.683216,53.385793,61.401869,,-13.18,1.23,,80.4,11045,11673,12394,11704
ABR PRD,ABR-D,ABR,,,8.0,06/17/2025,6/2/2026,NONE,0.4,6.38%,21.35,16.6,192.08,Reit,,15.0,,,,,,17.05,0.58,-4.17,17.69,18.34,-2.87,-6.34,16.75,19.98,15.9,19.98,16.85,0.1,-3.13,52.309768,64.955338,82.523364,49.275124,-3.13,0.95,42.680851,82.156863,15582,13979,13164,14242
ABR PRE,ABR-E,ABR,,,8.0,06/17/2025,8/11/2026,NONE,0.39,6.25%,21.35,16.6,192.08,Reit,,15.0,,,,,,16.92,0.39,-4.36,17.3,18.14,-1.78,-6.32,16.3,20.6,16.0,20.94,16.66,0.36,-3.94,47.603886,64.887282,77.663551,59.950577,-4.28,0.66,55.730496,83.976471,7744,9203,9859,8935
ABR PRF,ABR-F,ABR,NFF,,8.0,07/11/2025,10/30/2026,NONE,0.39,6.25%,,,192.08,Reit,,39.0,,,,,,20.35,,,21.54,20.56,-5.18,-0.7,18.61,23.3,17.15,23.3,20.2,1.59,-3.1,62.282785,45.763505,54.672897,48.879736,-3.1,3.05,42.340426,68.980392,21650,16985,17628,18754
ACR PRC,ACR-C,ACR,FF,,8.0,07/01/2025,7/30/2024,NONE,0.64,8.63%,,,7.39,Reit,,29.0,,,,,,25.01,,,24.81,24.84,0.87,0.71,22.61,25.53,20.05,25.53,24.59,1.98,-0.94,36.162979,40.965547,47.383178,20.411862,-0.94,4.54,17.829787,59.631373,8190,6709,4703,6534
ACR PRD,ACR-D,ACR,,,8.0,07/01/2025,5/21/2026,NONE,0.49,7.88%,20.5,18.57,7.39,Reit,,29.0,,,,,,21.23,2.77,0.84,21.35,22.11,-0.06,-3.5,18.12,23.58,17.69,24.49,21.01,2.89,-2.57,40.17809,55.291365,30.373832,41.894563,-3.48,3.32,46.652482,67.286275,6470,8065,5024,6519
AGNCL,AGNCL,AGNC,NFF,,8.0,07/01/2025,10/15/2027,NONE,0.48,7.75%,,,1020.48,Reit,,29.0,,,,,,24.43,,,24.92,24.62,-1.3,-0.07,22.84,26.59,19.78,26.59,24.27,1.43,-2.32,45.53157,43.619736,57.663551,38.599671,-2.32,4.49,33.489362,59.945098,16650,13622,8972,13081
AGNCM,AGNCM,AGNC,FF,,8.0,07/01/2025,4/15/2024,NONE,0.56,6.88%,,,1020.48,Reit,,29.0,,,,,,24.59,,,24.87,25.08,-1.58,-2.39,23.01,25.63,20.47,25.85,24.1,1.09,-1.53,46.740421,51.514249,64.018692,28.187809,-1.75,3.63,27.021277,65.341176,14039,15130,8689,12619
AGNCN,AGNCN,AGNC,FF,,8.0,07/01/2025,10/15/2022,NONE,0.61,7.00%,,,1020.48,Reit,,29.0,,,,,,25.52,,,25.66,25.7,-0.97,-1.13,23.63,26.59,23.63,26.59,25.0,1.37,-1.59,44.106854,47.226712,58.785047,28.978583,-1.59,1.37,25.205674,79.521569,22612,23569,11519,19233
AGNCO,AGNCO,AGNC,FF,,8.0,07/01/2025,10/15/2024,NONE,0.6,6.50%,,,1020.48,Reit,,29.0,,,,,,25.43,,,25.31,25.17,-0.41,0.14,23.68,25.95,20.85,25.95,24.8,1.12,-1.15,41.689153,42.905147,63.457944,23.179572,-1.15,3.95,20.212766,63.333333,33817,29126,19150,27364
AGNCP,AGNCP,AGNC,FF,,8.0,07/01/2025,4/15/2025,NONE,0.38,6.13%,,,1020.48,Reit,,29.0,,,,,,24.89,,,24.89,24.56,-0.78,0.57,23.37,25.48,19.61,25.48,24.44,1.07,-1.04,43.286562,41.44194,64.392523,21.729819,-1.04,4.83,18.964539,57.811765,36891,37917,32468,35759
AHL PRF,AHL-F,-,,,10.0,06/12/2025,11/30/2029,NONE,0.61,7.00%,,,-,-,,10.0,,,,,,24.62,,,,,,,21.28,26.21,21.28,26.21,24.2,2.92,-2.01,,,29.813084,34.514003,-2.01,2.92,29.971631,69.796078,30656,14629,9353,18213
ALL PRB,ALL-B,ALL,FF,,12.5,06/27/2025,1/15/2023,1/15/2053,0.48,5.10%,,,264.67,Insurance,,25.0,,,,,,26.06,,,25.99,25.99,-0.14,-0.17,25.01,27.0,25.01,27.0,25.6,0.59,-1.4,40.523475,43.960017,73.364486,26.474465,-1.4,0.59,23.049645,84.415686,27591,28607,24210,26803
ALL PRJ,ALL-J,ALL,,,12.0,06/27/2025,7/15/2028,NONE,0.46,7.38%,,25.29,264.67,Insurance,,25.0,,,,,,26.75,1.26,,26.64,27.0,-0.35,-1.66,25.56,28.22,25.15,28.22,26.22,0.66,-2.0,41.430113,49.0302,72.056075,34.382208,-2.0,1.07,29.858156,81.403922,37336,34453,37755,36515
ALTG PRA,ALTG-A,ALTG,,,8.0,07/11/2025,12/22/2025,NONE,0.63,10.00%,26.75,25.75,33.19,Rental&leasingservices,,39.0,,,,,,24.97,-1.35,-2.35,24.97,25.46,-2.3,-4.18,23.05,26.25,23.05,27.0,24.04,0.99,-2.21,49.848894,57.605274,65.88785,37.149918,-2.96,0.99,40.751773,81.905882,2331,2848,2414,2531
ANG PRB,ANG-B,-,FF,,9.0,05/16/2025,9/1/2025,NONE,0.41,6.63%,,,-,-,,73.0,,,,,,25.02,,,25.09,25.01,-0.51,-0.2,24.55,25.9,22.0,25.9,24.88,0.33,-1.02,42.120885,44.062101,78.224299,21.466227,-1.02,2.88,18.737589,70.047059,43084,57094,52500,50893
ANG PRD,ANG-D,-,,,9.0,06/30/2025,1/15/2030,,0.49,7.38%,,,-,-,,28.0,,,,,,25.18,,,,,,,23.54,26.54,23.54,26.54,24.67,1.13,-1.87,,,63.271028,32.668863,-1.87,1.13,28.382979,81.027451,42348,37423,12284,30685
AOMN,AOMN,AOMR,,BB,8.0,07/14/2025,7/30/2026,7/30/2029,0.59,9.50%,,,23.50,Reit,,42.0,,,,,,24.87,,,,,,,23.6,26.1,23.6,26.1,24.58,0.98,-1.52,,,66.074766,28.056013,-1.52,0.98,24.411348,81.968627,8371,7426,8065,7954
APOS,APOS,APO,NFF,,13.0,05/30/2025,12/15/2028,9/15/2053,0.48,7.63%,,,571.72,Assetmanagement,,87.0,,,,,,26.05,,,26.47,26.74,-2.7,-3.67,24.89,27.74,24.89,27.77,25.74,0.85,-2.0,51.575823,55.869843,68.504673,34.382208,-2.03,0.85,30.198582,82.784314,29500,33767,30770,31345
AQNB,AQNB,AQN,FF,,9.0,06/13/2025,7/1/2024,7/1/2079,0.55,6.20%,,,789.65,Utilities,,11.0,,,,,,25.65,,,25.42,25.46,0.65,0.51,24.59,26.5,22.71,26.5,25.11,0.52,-1.39,37.11279,41.646108,74.672897,26.342669,-1.39,2.4,22.93617,73.058824,22344,22996,15449,20263
ARGD,ARGD,-,,BB,9.5,05/30/2025,9/15/2017,9/15/2042,0.41,6.50%,24.35,21.31,-,-,,87.0,,,,,,19.82,-1.37,-4.41,20.92,21.74,-4.66,-8.3,19.19,22.85,19.19,24.24,19.93,0.74,-2.92,60.037777,71.62484,70.560748,46.507414,-4.31,0.74,56.070922,83.47451,7827,7296,5461,6862
