"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","COM_LAST_PRICE","COM_52W_LOW","COM_52W_HIGH","COM_6M_PRICE","COM_3M_PRICE","COM_5Y_LOW","COM_5Y_HIGH","COM_MKTCAP","CRDT_SCORE","COM_FEB2020_PRICE","COM_MAR2020_PRICE","COM_5Y_LOW_CHG","COM_5Y_HIGH_CHG","COM_52W_LOW_CHG","COM_52W_HIGH_CHG","COM_6M_CHG","COM_3M_CHG","COM_FEB2020_CHG","COM_MAR2020_CHG","5Y_LOW_SKOR","5Y_HIGH_SKOR","52W_LOW_SKOR","52W_HIGH_SKOR","COM_6M_SKOR","COM_3M_SKOR","FEB2020_SKOR","MAR2020_SKOR","Normalized_5Y_LOW","Normalized_5Y_HIGH","Normalized_52W_LOW","Normalized_52W_HIGH","Normalized_COM_6M","Normalized_COM_3M","Normalized_FEB2020","Normalized_MAR2020","52W_HIGH_CHG","5Y_HIGH_CHG","52W_LOW_CHG","5Y_LOW_CHG","5Y_CHG","5Y CHG SKOR","52W_CHG","52W CHG SKOR","TOTAL_HIGH_SCORE","3M_PERF","6M_PERF","RECENT_TOTAL","MKTCAP_NORM","CRDT_NORM","SOLIDITY_SCORE","H2020_SKOR","H2020_NORM","L2020_SKOR","L2020_NORM","COM_6M_NORM","COM_3M_NORM","MKTCAP_RANGE"
"ABLLL","ABLLL","ABL","","BB","8.000000","05/13/2025","2/15/2027","11/15/2028","0.620000","9.88%","","","95.62","Insurance","","56.000000","","","","","","24.660000","","","25.690000","26.200000","-4.000000","-5.890000","20.520000","38.500000","20.520000","38.500000","24.430000","6.120000","5.100000","11.860000","7.700000","7.600000","5.100000","13.250000","0.585194","8.000000","","","0.200000","-0.538113","0.200000","-0.483980","-0.205195","-0.194737","","","26.000000","41.569811","26.000000","46.441821","-3.259736","-4.048298","","","","57.953243","","60.911400","50.341643","50.011073","","","-0.483980","-0.538113","0.200000","0.200000","0.200000","10.978225","0.200000","23.475081","44.005816","-0.194737","-0.205195","-0.399932","37.925970","8.920000","35.758723","0.000000","1.000000","0.000000","1.000000","56.901063","57.011440","<1B USD"
"ABR PRD","ABR-D","ABR","","","8.000000","06/17/2025","6/2/2026","NONE","0.400000","6.38%","21.350000","16.600000","192.08","Reit","","1.000000","","","","","","17.550000","0.950000","-3.800000","17.560000","18.300000","-0.070000","-4.080000","16.750000","19.980000","15.900000","19.980000","17.150000","10.210000","8.430000","15.940000","14.220000","12.230000","7.400000","20.740000","1.961137","8.000000","15.000000","4.820000","0.379730","-0.507715","0.211151","-0.359473","-0.281997","-0.165168","-0.319333","1.118257","40.378378","44.305689","26.892052","57.647428","-6.700634","-3.278952","259.066048","320.176161","","61.736753","","77.981033","53.874226","52.951889","13.363730","21.117503","-0.359473","-0.507715","0.211151","0.379730","0.379730","11.830347","0.211151","24.203321","50.976559","-0.165168","-0.281997","-0.447165","42.402842","8.920000","39.731263","34.121640","44.936483","30.975063","39.702142","46.890018","59.540429","<1B USD"
"ABR PRE","ABR-E","ABR","","","8.000000","06/17/2025","8/11/2026","NONE","0.390000","6.25%","21.350000","16.600000","192.08","Reit","","1.000000","","","","","","17.500000","0.900000","-3.850000","17.190000","18.100000","1.820000","-3.300000","16.300000","20.600000","16.000000","20.940000","17.110000","10.210000","8.430000","15.940000","14.220000","12.230000","7.400000","20.740000","1.961137","8.000000","15.000000","4.820000","0.379730","-0.507715","0.211151","-0.359473","-0.281997","-0.165168","-0.319333","1.118257","40.378378","44.305689","26.892052","57.647428","-6.700634","-3.278952","259.066048","320.176161","","61.736753","","77.981033","53.874226","52.951889","13.363730","21.117503","-0.359473","-0.507715","0.211151","0.379730","0.379730","11.830347","0.211151","24.203321","50.976559","-0.165168","-0.281997","-0.447165","42.402842","8.920000","39.731263","34.121640","44.936483","30.975063","39.702142","46.890018","59.540429","<1B USD"
"ABR PRF","ABR-F","ABR","NFF","","8.000000","07/11/2025","10/30/2026","NONE","0.390000","6.25%","","","192.08","Reit","","25.000000","","","","","","20.450000","","","21.310000","20.600000","-4.040000","-0.710000","19.060000","23.300000","17.150000","23.300000","20.170000","10.210000","8.430000","15.940000","14.220000","12.230000","7.400000","20.740000","1.961137","8.000000","15.000000","4.820000","0.379730","-0.507715","0.211151","-0.359473","-0.281997","-0.165168","-0.319333","1.118257","40.378378","44.305689","26.892052","57.647428","-6.700634","-3.278952","259.066048","320.176161","","61.736753","","77.981033","53.874226","52.951889","13.363730","21.117503","-0.359473","-0.507715","0.211151","0.379730","0.379730","11.830347","0.211151","24.203321","50.976559","-0.165168","-0.281997","-0.447165","42.402842","8.920000","39.731263","34.121640","44.936483","30.975063","39.702142","46.890018","59.540429","<1B USD"
"ACR PRC","ACR-C","ACR","FF","","8.000000","07/01/2025","7/30/2024","NONE","0.640000","8.63%","","","7.39","Reit","","15.000000","","","","","","25.100000","","","24.820000","24.870000","1.110000","0.940000","22.610000","25.530000","20.680000","25.530000","24.570000","18.010000","12.600000","23.810000","17.010000","23.210000","5.280000","23.810000","0.133094","8.000000","","","2.410985","-0.243595","0.429365","-0.243595","0.058789","-0.224041","","","90.000000","68.076438","44.349206","68.076438","3.960998","-6.013445","","","","94.609883","","93.867667","74.547179","58.620729","","","-0.243595","-0.243595","0.429365","2.410985","2.410985","21.460788","0.429365","38.454732","68.076438","-0.224041","0.058789","-0.165252","35.665470","8.920000","44.285637","0.000000","1.000000","0.000000","1.000000","77.909267","50.551616","<1B USD"
"ACR PRD","ACR-D","ACR","","","8.000000","07/01/2025","5/21/2026","NONE","0.490000","7.88%","20.500000","18.570000","7.39","Reit","","15.000000","","","","","","22.240000","3.670000","1.740000","21.280000","22.130000","4.530000","0.480000","18.120000","23.500000","17.690000","24.490000","21.830000","18.010000","12.600000","23.810000","17.010000","23.210000","5.280000","23.810000","0.133094","8.000000","","","2.410985","-0.243595","0.429365","-0.243595","0.058789","-0.224041","","","90.000000","68.076438","44.349206","68.076438","3.960998","-6.013445","","","","94.609883","","93.867667","74.547179","58.620729","","","-0.243595","-0.243595","0.429365","2.410985","2.410985","21.460788","0.429365","38.454732","68.076438","-0.224041","0.058789","-0.165252","35.665470","8.920000","44.285637","0.000000","1.000000","0.000000","1.000000","77.909267","50.551616","<1B USD"
"AGNCL","AGNCL","AGNC","FF","","8.000000","07/01/2025","10/15/2027","NONE","0.480000","7.75%","","","1020.48","Reit","","15.000000","","","","","","24.990000","","","24.940000","24.670000","0.200000","1.280000","22.840000","26.590000","19.780000","26.590000","24.590000","9.320000","7.850000","10.850000","9.570000","10.350000","6.810000","18.840000","9.510874","8.000000","19.030000","9.830000","0.368576","-0.505308","0.187261","-0.141014","-0.026123","-0.099517","-0.510247","-0.051882","39.486050","44.522293","24.980892","77.308756","1.638397","-1.570822","177.638092","129.498577","","62.036299","","95.099601","66.761297","59.481200","9.477643","9.136733","-0.141014","-0.505308","0.187261","0.368576","0.368576","11.777464","0.187261","22.643117","60.915524","-0.099517","-0.026123","-0.125640","59.021748","8.920000","50.387002","36.095017","47.477489","35.966143","45.938304","71.151829","65.155386","<1B USD"
"AGNCM","AGNCM","AGNC","FF","","8.000000","07/01/2025","4/15/2024","NONE","0.560000","6.88%","","","1020.48","Reit","","15.000000","","","","","","24.730000","","","24.810000","25.070000","-0.320000","-1.340000","23.010000","25.630000","20.470000","25.850000","24.260000","9.320000","7.850000","10.850000","9.570000","10.350000","6.810000","18.840000","9.510874","8.000000","19.030000","9.830000","0.368576","-0.505308","0.187261","-0.141014","-0.026123","-0.099517","-0.510247","-0.051882","39.486050","44.522293","24.980892","77.308756","1.638397","-1.570822","177.638092","129.498577","","62.036299","","95.099601","66.761297","59.481200","9.477643","9.136733","-0.141014","-0.505308","0.187261","0.368576","0.368576","11.777464","0.187261","22.643117","60.915524","-0.099517","-0.026123","-0.125640","59.021748","8.920000","50.387002","36.095017","47.477489","35.966143","45.938304","71.151829","65.155386","<1B USD"
"AGNCN","AGNCN","AGNC","FF","","8.000000","07/01/2025","10/15/2022","NONE","0.610000","7.00%","","","1020.48","Reit","","15.000000","","","","","","25.650000","","","25.640000","25.700000","0.040000","-0.190000","23.630000","26.590000","23.630000","26.590000","25.140000","9.320000","7.850000","10.850000","9.570000","10.350000","6.810000","18.840000","9.510874","8.000000","19.030000","9.830000","0.368576","-0.505308","0.187261","-0.141014","-0.026123","-0.099517","-0.510247","-0.051882","39.486050","44.522293","24.980892","77.308756","1.638397","-1.570822","177.638092","129.498577","","62.036299","","95.099601","66.761297","59.481200","9.477643","9.136733","-0.141014","-0.505308","0.187261","0.368576","0.368576","11.777464","0.187261","22.643117","60.915524","-0.099517","-0.026123","-0.125640","59.021748","8.920000","50.387002","36.095017","47.477489","35.966143","45.938304","71.151829","65.155386","<1B USD"
"AGNCO","AGNCO","AGNC","FF","","8.000000","07/01/2025","10/15/2024","NONE","0.600000","6.50%","","","1020.48","Reit","","15.000000","","","","","","25.560000","","","25.320000","25.200000","0.950000","1.430000","23.680000","25.950000","20.850000","25.950000","25.060000","9.320000","7.850000","10.850000","9.570000","10.350000","6.810000","18.840000","9.510874","8.000000","19.030000","9.830000","0.368576","-0.505308","0.187261","-0.141014","-0.026123","-0.099517","-0.510247","-0.051882","39.486050","44.522293","24.980892","77.308756","1.638397","-1.570822","177.638092","129.498577","","62.036299","","95.099601","66.761297","59.481200","9.477643","9.136733","-0.141014","-0.505308","0.187261","0.368576","0.368576","11.777464","0.187261","22.643117","60.915524","-0.099517","-0.026123","-0.125640","59.021748","8.920000","50.387002","36.095017","47.477489","35.966143","45.938304","71.151829","65.155386","<1B USD"
"AGNCP","AGNCP","AGNC","FF","","8.000000","07/01/2025","4/15/2025","NONE","0.380000","6.13%","","","1020.48","Reit","","15.000000","","","","","","25.070000","","","24.910000","24.600000","0.660000","1.930000","23.370000","25.480000","19.610000","25.480000","24.750000","9.320000","7.850000","10.850000","9.570000","10.350000","6.810000","18.840000","9.510874","8.000000","19.030000","9.830000","0.368576","-0.505308","0.187261","-0.141014","-0.026123","-0.099517","-0.510247","-0.051882","39.486050","44.522293","24.980892","77.308756","1.638397","-1.570822","177.638092","129.498577","","62.036299","","95.099601","66.761297","59.481200","9.477643","9.136733","-0.141014","-0.505308","0.187261","0.368576","0.368576","11.777464","0.187261","22.643117","60.915524","-0.099517","-0.026123","-0.125640","59.021748","8.920000","50.387002","36.095017","47.477489","35.966143","45.938304","71.151829","65.155386","<1B USD"
"AHL PRF","AHL-F","-","","","10.000000","06/12/2025","11/30/2029","NONE","0.610000","7.00%","","","-","-","","86.000000","","","","","","23.870000","","","","","","","21.280000","26.210000","21.280000","26.210000","23.840000","","","","","","","","","","","","","","","","","","","","10.000000","10.000000","10.000000","10.000000","","","","","","","","","","","","","","","","","","","","","10.000000","","","","35.000000","","","0.000000","1.000000","0.000000","1.000000","","","<1B USD"
"ALL PRB","ALL-B","ALL","FF","","12.500000","06/27/2025","1/15/2023","1/15/2053","0.480000","5.10%","","","264.67","Insurance","","11.000000","","","","","","26.090000","","","25.960000","25.990000","0.490000","0.400000","25.010000","27.000000","25.010000","27.000000","25.670000","198.920000","156.660000","213.180000","193.400000","210.100000","84.970000","213.180000","52.648156","12.500000","123.950000","73.870000","1.341062","-0.066892","0.269756","-0.066892","0.028542","-0.053213","0.604841","1.692839","90.000000","83.979735","31.580493","83.979735","3.133651","-0.366060","522.593729","413.805883","","1.455513","","10.274877","71.773727","64.086394","25.940388","27.000503","-0.066892","-0.066892","0.269756","1.341062","1.341062","16.388144","0.269756","28.030800","83.979735","-0.053213","0.028542","-0.024671","77.423705","44.560000","74.378734","63.359853","82.584857","65.914972","83.358205","75.502162","69.115676","<1B USD"
"ALL PRJ","ALL-J","ALL","","","12.000000","06/27/2025","7/15/2028","NONE","0.460000","7.38%","","25.290000","264.67","Insurance","","11.000000","","","","","","26.650000","1.360000","","26.640000","26.990000","0.040000","-1.240000","25.560000","28.220000","25.150000","28.220000","26.250000","198.920000","156.660000","213.180000","193.400000","210.100000","84.970000","213.180000","52.648156","12.500000","123.950000","73.870000","1.341062","-0.066892","0.269756","-0.066892","0.028542","-0.053213","0.604841","1.692839","90.000000","83.979735","31.580493","83.979735","3.133651","-0.366060","522.593729","413.805883","","1.455513","","10.274877","71.773727","64.086394","25.940388","27.000503","-0.066892","-0.066892","0.269756","1.341062","1.341062","16.388144","0.269756","28.030800","83.979735","-0.053213","0.028542","-0.024671","77.423705","44.560000","74.378734","63.359853","82.584857","65.914972","83.358205","75.502162","69.115676","<1B USD"
"ALTG PRA","ALTG-A","ALTG","","","8.000000","07/11/2025","12/22/2025","NONE","0.630000","10.00%","26.750000","25.750000","33.19","Rental&leasingservices","","25.000000","","","","","","24.620000","-1.130000","-2.130000","24.910000","25.430000","-1.180000","-3.170000","23.050000","26.250000","23.050000","27.000000","24.170000","6.210000","3.540000","11.390000","7.040000","5.300000","3.540000","20.600000","0.206110","8.000000","","3.760000","0.754237","-0.698544","0.754237","-0.454785","-0.117898","0.171698","","0.651596","70.338983","27.131068","70.338983","49.069359","-0.871903","5.485773","","244.132314","","37.985564","","64.913960","58.346198","86.454972","","16.339470","-0.454785","-0.698544","0.754237","0.754237","0.754237","13.605935","0.754237","59.671878","38.100214","0.171698","-0.117898","0.053800","36.030550","8.920000","31.838004","0.000000","1.000000","29.778071","38.206547","63.848289","88.351796","<1B USD"
"ANG PRB","ANG-B","-","FF","","9.000000","05/16/2025","9/1/2025","NONE","0.410000","6.63%","","","-","-","","59.000000","","","","","","25.000000","","","25.060000","25.020000","-0.240000","-0.060000","24.710000","25.900000","22.000000","25.900000","24.860000","","","","","","","","","","","","","","","","","","","","10.000000","10.000000","10.000000","10.000000","","","","","","","","","","","","","","","","","","","","","10.000000","","","","35.000000","","","0.000000","1.000000","0.000000","1.000000","","","<1B USD"
"ANG PRD","ANG-D","-","","","9.000000","06/30/2025","1/15/2030","","0.490000","7.38%","","","-","-","","14.000000","","","","","","25.150000","","","","","","","23.540000","26.540000","23.540000","26.540000","24.740000","","","","","","","","","","","","","","","","","","","","10.000000","10.000000","10.000000","10.000000","","","","","","","","","","","","","","","","","","","","","10.000000","","","","35.000000","","","0.000000","1.000000","0.000000","1.000000","","","<1B USD"
