PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CGRUP,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,COM_LAST_PRICE,COM_52W_LOW,COM_52W_HIGH,COM_6M_PRICE,COM_3M_PRICE,COM_5Y_LOW,COM_5Y_HIGH,COM_MKTCAP,CRDT_SCORE,COM_FEB2020_PRICE,COM_MAR2020_PRICE,COM_5Y_LOW_CHG,COM_5Y_HIGH_CHG,COM_52W_LOW_CHG,COM_52W_HIGH_CHG,COM_6M_CHG,COM_3M_CHG,COM_FEB2020_CHG,COM_MAR2020_CHG,5Y_LOW_SKOR,5Y_HIGH_SKOR,52W_LOW_SKOR,52W_HIGH_SKOR,COM_6M_SKOR,COM_3M_SKOR,FEB2020_SKOR,MAR2020_SKOR,Normalized_5Y_LOW,Normalized_5Y_HIGH,Normalized_52W_LOW,Normalized_52W_HIGH,Normalized_COM_6M,Normalized_COM_3M,Normalized_FEB2020,Normalized_MAR2020,52W_HIGH_CHG,5Y_HIGH_CHG,52W_LOW_CHG,5Y_LOW_CHG,5Y_CHG,5Y CHG SKOR,52W_CHG,52W CHG SKOR,TOTAL_HIGH_SCORE,3M_PERF,6M_PERF,RECENT_TOTAL,MKTCAP_NORM,CRDT_NORM,SOLIDITY_SCORE,H2020_SKOR,H2020_NORM,L2020_SKOR,L2020_NORM,COM_6M_NORM,COM_3M_NORM,MKTCAP_RANGE
ACGLN,ACGL,,12,12/13/2024,,,0.28,4.55%,21.70,16.62,c450,16.75,0.13,-4.95,17.54,18.94,-4.50,-11.58,16.44,20.99,16.44,21.22,85.00,16.73,90.89,82.49,116.47,90.53,95.28,26.22,116.47,34.10,12.00,46.78,25.97,2.47,-0.22,0.10,-0.22,0.00,-0.05,0.94,2.50,90.00,70.23,18.15,70.23,1.01,-1.14,109.44,126.02,87.95,97.53,3.43,45.63,62.84,48.01,51.59,43.36,-0.22,-0.22,0.10,2.47,2.47,41.12,0.10,18.95,70.23,-0.05,0.00,-0.05,70.24,50.50,66.99,37.72,48.64,36.65,49.21,67.44,54.67,<1B USD
ACGLO,ACGL,,11.5,12/13/2024,,,0.34,5.45%,24.93,19.34,c550,20.14,0.80,-4.79,20.90,22.13,-3.63,-9.00,19.99,23.91,19.20,24.50,85.00,20.12,90.89,82.49,116.47,90.53,95.28,26.22,116.47,34.10,12.00,46.78,25.97,2.47,-0.22,0.10,-0.22,0.00,-0.05,0.94,2.50,90.00,70.23,18.15,70.23,1.01,-1.14,109.44,126.02,87.95,97.53,3.43,45.63,62.84,48.01,51.59,43.36,-0.22,-0.22,0.10,2.47,2.47,41.12,0.10,18.95,70.23,-0.05,0.00,-0.05,70.24,50.50,66.99,37.72,48.64,36.65,49.21,67.44,54.67,<1B USD
ACP PRA,ACP,,15,12/16/2024,,,0.33,5.25%,24.61,21.47,c525,20.80,-0.67,-3.81,21.49,23.01,-3.21,-9.60,20.21,25.00,19.65,26.33,88.00,20.79,5.91,4.92,7.00,5.93,5.92,4.92,12.41,0.74,15.00,11.65,6.70,0.20,-0.52,0.20,-0.16,-0.00,-0.00,-0.49,-0.12,26.10,42.86,26.10,75.99,0.81,-0.03,12.63,13.06,56.27,57.33,75.58,50.99,61.71,58.83,6.84,5.39,-0.16,-0.52,0.20,0.20,0.20,12.45,0.20,28.39,59.42,-0.00,-0.00,-0.00,38.70,80.20,56.09,28.82,37.40,28.56,38.57,66.44,64.10,<1B USD
ADC PRA,ADC,,11,10/22/2024,,,0.27,4.25%,20.92,15.83,c425,17.13,1.30,-3.79,17.49,18.46,-2.04,-7.22,16.96,21.94,15.71,21.94,33.00,16.96,74.55,60.42,79.65,73.31,77.16,52.69,80.44,8.20,11.00,77.46,52.71,0.41,-0.07,0.23,-0.06,0.02,-0.03,-0.04,0.41,43.19,83.41,28.71,84.24,1.34,-0.84,41.59,36.03,65.30,6.68,78.09,95.23,64.83,51.00,20.23,13.11,-0.06,-0.07,0.23,0.41,0.41,15.15,0.23,31.49,83.82,-0.03,0.02,-0.01,56.40,40.60,65.32,43.53,55.97,44.76,59.89,69.18,57.27,<1B USD
AEFC,AEG,BB,12.5,11/29/2024,12/15/2024,,0.32,5.10%,24.32,18.56,c500,19.40,0.84,-4.92,20.13,21.08,-3.64,-7.97,18.61,22.83,18.24,22.90,71.00,19.33,6.94,5.42,7.32,5.83,6.57,2.31,138.84,10.99,12.50,70.51,43.76,2.00,-0.95,0.28,-0.05,0.19,0.06,0.30,1.31,90.00,10.00,32.44,85.33,5.83,1.42,,,85.30,1.00,81.14,93.26,91.54,72.96,,,-0.05,-0.95,0.28,2.00,2.00,35.27,0.28,35.92,47.66,0.06,0.19,0.25,60.42,55.45,35.76,0.00,1.00,0.00,1.00,92.58,76.43,<1B USD
AFGB,AFG,BB,11.5,12/13/2024,,,0.37,5.88%,26.83,21.40,c575,20.74,-0.66,-6.09,21.74,23.27,-4.60,-10.88,20.66,25.24,20.66,25.27,85.00,20.72,123.87,114.73,150.19,137.91,126.52,56.73,152.29,10.35,11.50,112.94,51.16,1.18,-0.19,0.08,-0.18,-0.10,-0.02,0.10,1.42,90.00,73.20,16.37,74.23,-1.73,-0.52,50.89,79.48,78.58,89.78,2.85,47.71,46.56,54.14,24.53,27.72,-0.18,-0.19,0.08,1.18,1.18,24.88,0.08,16.85,73.72,-0.02,-0.10,-0.12,60.15,45.55,64.80,48.90,62.76,44.36,59.35,53.17,60.01,<1B USD
AFGC,AFG,BB,11.5,11/29/2024,,,0.32,5.13%,26.22,18.46,c500,18.35,-0.11,-7.87,19.29,20.78,-4.89,-11.69,18.01,23.42,18.01,23.42,71.00,18.28,123.87,114.73,150.19,137.91,126.52,56.73,152.29,10.35,11.50,112.94,51.16,1.18,-0.19,0.08,-0.18,-0.10,-0.02,0.10,1.42,90.00,73.20,16.37,74.23,-1.73,-0.52,50.89,79.48,78.58,89.78,2.85,47.71,46.56,54.14,24.53,27.72,-0.18,-0.19,0.08,1.18,1.18,24.88,0.08,16.85,73.72,-0.02,-0.10,-0.12,60.15,45.55,64.80,48.90,62.76,44.36,59.35,53.17,60.01,<1B USD
AFGD,AFG,BB,11.5,11/15/2024,,,0.35,5.63%,25.56,20.36,c550,20.03,-0.33,-5.53,20.92,22.78,-4.27,-12.07,18.19,25.61,18.19,25.61,57.00,19.90,123.87,114.73,150.19,137.91,126.52,56.73,152.29,10.35,11.50,112.94,51.16,1.18,-0.19,0.08,-0.18,-0.10,-0.02,0.10,1.42,90.00,73.20,16.37,74.23,-1.73,-0.52,50.89,79.48,78.58,89.78,2.85,47.71,46.56,54.14,24.53,27.72,-0.18,-0.19,0.08,1.18,1.18,24.88,0.08,16.85,73.72,-0.02,-0.10,-0.12,60.15,45.55,64.80,48.90,62.76,44.36,59.35,53.17,60.01,<1B USD
AFGE,AFG,BB,11.5,11/29/2024,,,0.28,4.50%,22.31,16.58,c450,16.49,-0.09,-5.82,17.11,18.63,-3.65,-11.51,16.11,20.77,16.11,21.78,71.00,16.43,123.87,114.73,150.19,137.91,126.52,56.73,152.29,10.35,11.50,112.94,51.16,1.18,-0.19,0.08,-0.18,-0.10,-0.02,0.10,1.42,90.00,73.20,16.37,74.23,-1.73,-0.52,50.89,79.48,78.58,89.78,2.85,47.71,46.56,54.14,24.53,27.72,-0.18,-0.19,0.08,1.18,1.18,24.88,0.08,16.85,73.72,-0.02,-0.10,-0.12,60.15,45.55,64.80,48.90,62.76,44.36,59.35,53.17,60.01,<1B USD
AGM PRD,AGM,,NR,12/27/2024,,,0.36,5.70%,25.28,21.04,c550,21.64,0.60,-3.64,22.03,22.91,-1.79,-5.55,20.92,24.86,20.26,25.70,9.00,21.32,184.25,159.63,217.60,209.19,194.26,57.05,217.60,1.98,8.00,73.29,43.02,2.23,-0.15,0.15,-0.15,-0.12,-0.05,1.51,3.28,90.00,76.21,22.34,76.21,-2.19,-1.28,148.95,159.81,86.66,93.66,71.18,51.40,43.88,46.68,69.86,54.72,-0.15,-0.15,0.15,2.23,2.23,38.12,0.15,23.93,76.21,-0.05,-0.12,-0.17,42.45,10.90,50.74,42.82,55.07,42.12,56.41,50.82,53.51,<1B USD
AGM PRE,AGM,,NR,12/27/2024,,,0.36,5.75%,24.90,21.55,c550,21.35,-0.20,-3.55,22.14,23.05,-3.59,-7.37,21.26,24.74,20.31,24.93,9.00,21.03,184.25,159.63,217.60,209.19,194.26,57.05,217.60,1.98,8.00,73.29,43.02,2.23,-0.15,0.15,-0.15,-0.12,-0.05,1.51,3.28,90.00,76.21,22.34,76.21,-2.19,-1.28,148.95,159.81,86.66,93.66,71.18,51.40,43.88,46.68,69.86,54.72,-0.15,-0.15,0.15,2.23,2.23,38.12,0.15,23.93,76.21,-0.05,-0.12,-0.17,42.45,10.90,50.74,42.82,55.07,42.12,56.41,50.82,53.51,<1B USD
