"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm","ADV_6M","ADV_3M","ADV_15D","AVG_ADV","SOLIDITY_SCORE","Normalized_COM_6M","Normalized_COM_3M","Normalized_52W_LOW","FINAL_THG","CS_FACTOR"
"ABLLL","ABLLL","ABL","","BB","8.00","05/13/2025","2/15/2027","11/15/2028","0.62","9.88%","","","95.62","Insurance","","38.00","","","","","","24.88","","","25.41","26.18","-2.07","-4.95","20.52","38.50","20.52","38.50","24.52","4.00","-13.98","64.41","63.93","39.92","","-13.98","4.00","","64.74","11509.00","13025.00","14851.00","13129.00","35.76","","","","59.31","1.00"
"ABR PRD","ABR-D","ABR","","","8.00","06/17/2025","6/2/2026","NONE","0.40","6.38%","21.35","16.60","192.08","Reit","","73.00","","","","","","17.92","1.32","-3.43","17.52","18.26","2.30","-1.86","16.75","19.95","15.90","19.98","17.84","1.09","-2.11","49.95","54.61","75.47","31.45","-2.14","1.94","33.19","78.12","14465.00","14209.00","10592.00","13089.00","39.73","","","","50.59","1.00"
"ABR PRE","ABR-E","ABR","","","8.00","06/17/2025","8/11/2026","NONE","0.39","6.25%","21.35","16.60","192.08","Reit","","73.00","","","","","","17.53","0.93","-3.82","17.14","18.06","2.28","-2.96","16.30","20.60","16.00","20.94","17.46","1.16","-3.14","50.02","57.93","74.61","42.27","-3.48","1.46","48.21","81.23","7908.00","9668.00","5816.00","7797.00","39.73","","","","51.61","1.00"
"ABR PRF","ABR-F","ABR","NFF","","8.00","07/11/2025","10/30/2026","NONE","0.39","6.25%","","","192.08","Reit","","7.00","","","","","","21.12","","","21.04","20.62","0.36","2.41","19.40","23.30","17.15","23.30","20.76","1.36","-2.54","56.37","41.74","72.17","35.97","-2.54","3.61","37.68","67.27","20039.00","17041.00","18495.00","18525.00","39.73","","","","48.35","1.00"
"ACR PRC","ACR-C","ACR","FF","","8.00","07/01/2025","7/30/2024","NONE","0.64","8.63%","","","7.39","Reit","","87.00","","","","","","24.51","","","24.84","24.89","-1.33","-1.52","22.61","25.53","21.49","25.53","24.49","1.88","-1.04","61.97","53.59","65.82","20.20","-1.04","3.00","20.87","71.23","7655.00","6311.00","6578.00","6848.00","44.29","","","","55.51","1.00"
"ACR PRD","ACR-D","ACR","","","8.00","07/01/2025","5/21/2026","NONE","0.49","7.88%","20.50","18.57","7.39","Reit","","87.00","","","","","","22.13","3.56","1.63","21.31","22.20","3.85","-0.30","18.12","23.48","17.69","24.49","22.11","3.99","-1.37","44.82","49.91","40.05","23.67","-2.38","4.42","35.88","62.01","6545.00","8375.00","7348.00","7423.00","44.29","","","","47.21","1.00"
"AGNCL","AGNCL","AGNC","FF","","8.00","07/01/2025","10/15/2027","NONE","0.48","7.75%","","","1020.48","Reit","","87.00","","","","","","24.74","","","24.96","24.72","-0.87","0.07","22.84","26.59","19.78","26.59","24.72","1.88","-1.87","60.44","48.79","65.82","28.92","-1.87","4.94","30.17","58.64","13895.00","13064.00","14627.00","13862.00","50.39","","","","54.64","1.00"
"AGNCM","AGNCM","AGNC","FF","","8.00","07/01/2025","4/15/2024","NONE","0.56","6.88%","","","1020.48","Reit","","87.00","","","","","","24.57","","","24.79","25.06","-0.87","-1.96","23.01","25.60","20.47","25.85","24.55","1.54","-1.05","60.44","54.91","69.97","20.30","-1.30","4.08","23.78","64.22","14335.00","16171.00","13690.00","14732.00","50.39","","","","57.14","1.00"
"AGNCN","AGNCN","AGNC","FF","","8.00","07/01/2025","10/15/2022","NONE","0.61","7.00%","","","1020.48","Reit","","87.00","","","","","","25.26","","","25.63","25.69","-1.43","-1.69","23.63","26.59","23.63","26.59","25.24","1.61","-1.35","62.30","54.10","69.11","23.46","-1.35","1.61","24.34","80.26","21843.00","23667.00","17390.00","20967.00","50.39","","","","57.95","1.00"
"AGNCO","AGNCO","AGNC","FF","","8.00","07/01/2025","10/15/2024","NONE","0.60","6.50%","","","1020.48","Reit","","87.00","","","","","","25.18","","","25.34","25.23","-0.63","-0.20","23.68","25.95","20.85","25.95","25.16","1.48","-0.79","59.65","49.61","70.70","17.57","-0.79","4.31","18.07","62.73","31179.00","30593.00","24719.00","28830.00","50.39","","","","55.58","1.00"
"AGNCP","AGNCP","AGNC","FF","","8.00","07/01/2025","4/15/2025","NONE","0.38","6.13%","","","1020.48","Reit","","87.00","","","","","","24.90","","","24.93","24.65","-0.11","1.02","23.37","25.48","19.61","25.48","24.89","1.52","-0.59","57.93","45.93","70.21","15.47","-0.59","5.28","15.83","56.43","37396.00","34955.00","41081.00","37810.00","50.39","","","","53.99","1.00"
"AHL PRF","AHL-F","-","","","10.00","06/12/2025","11/30/2029","NONE","0.61","7.00%","","","-","-","","68.00","","","","","","24.00","","","","","","","21.28","26.21","21.28","26.21","23.85","2.57","-2.36","58.17","53.63","57.39","34.07","-2.36","2.57","35.66","74.03","28376.00","14384.00","10759.00","17840.00","53.11","","","","56.45","1.00"
"ALL PRB","ALL-B","ALL","FF","","12.50","06/27/2025","1/15/2023","1/15/2053","0.48","5.10%","","","264.67","Insurance","","83.00","","","","","","25.69","","","25.92","26.00","-0.87","-1.17","25.01","27.00","25.01","27.00","25.65","0.64","-1.35","60.44","52.53","80.96","23.46","-1.35","0.64","24.34","86.56","26814.00","29673.00","25552.00","27346.00","74.38","66.62","46.27","80.49","61.77","1.00"
"ALL PRJ","ALL-J","ALL","","","12.00","06/27/2025","7/15/2028","NONE","0.46","7.38%","","25.29","264.67","Insurance","","83.00","","","","","","26.60","1.31","","26.61","26.97","-0.02","-1.36","25.56","27.95","25.15","28.22","26.56","1.00","-1.39","57.63","53.10","76.56","23.88","-1.66","1.41","27.82","81.56","35852.00","34442.00","27519.00","32604.00","74.38","66.62","46.27","80.49","61.21","1.00"
"ALTG PRA","ALTG-A","ALTG","","","8.00","07/11/2025","12/22/2025","NONE","0.63","10.00%","26.75","25.75","33.19","Rental&leasingservices","","7.00","","","","","","25.45","-0.30","-1.30","24.84","25.38","2.44","0.27","23.05","26.15","23.05","27.00","24.87","1.82","-1.28","49.49","48.19","66.55","22.72","-2.13","1.82","33.08","78.90","2340.00","3067.00","2776.00","2728.00","31.84","","","","45.61","1.00"
"ANG PRB","ANG-B","-","FF","","9.00","05/16/2025","9/1/2025","NONE","0.41","6.63%","","","-","-","","41.00","","","","","","25.17","","","25.05","25.02","0.46","0.58","24.76","25.90","22.00","25.90","24.95","0.19","-0.95","56.04","47.26","86.46","19.25","-0.95","2.95","19.86","71.56","38450.00","58120.00","14677.00","37082.00","53.11","","","","54.26","1.00"
"ANG PRD","ANG-D","-","","","9.00","06/30/2025","1/15/2030","","0.49","7.38%","","","-","-","","86.00","","","","","","26.11","","","","","","","23.54","26.54","23.54","26.54","26.09","2.55","-0.45","58.17","53.63","57.63","13.99","-0.45","2.55","14.26","74.16","39124.00","24579.00","18906.00","27536.00","53.11","","","","57.06","1.00"
"AOMN","AOMN","AOMR","","BB","8.00","07/14/2025","7/30/2026","7/30/2029","0.59","9.50%","","","23.50","Reit","","10.00","","","","","","25.04","","","","","","","23.60","26.09","23.60","26.10","24.52","0.92","-1.57","58.17","53.63","77.54","25.77","-1.58","0.92","26.92","84.74","7942.00","7094.00","3666.00","6234.00","39.12","","","","52.93","1.00"
"APOS","APOS","APO","NFF","","13.00","05/30/2025","12/15/2028","9/15/2053","0.48","7.63%","","","571.72","Assetmanagement","","55.00","","","","","","26.37","","","26.31","26.70","0.25","-1.23","24.89","27.61","24.89","27.77","26.18","1.29","-1.43","56.74","52.71","73.02","24.30","-1.59","1.29","27.03","82.34","28924.00","35762.00","27999.00","30895.00","67.77","","","","59.26","1.00"
"AQNB","AQNB","AQN","FF","","9.00","06/13/2025","7/1/2024","7/1/2079","0.55","6.20%","","","789.65","Utilities","","69.00","","","","","","25.63","","","25.39","25.48","0.95","0.59","24.59","26.09","22.71","26.50","25.50","0.91","-0.59","54.42","47.23","77.66","15.47","-1.00","2.79","20.42","72.60","22106.00","25655.00","29652.00","25804.00","46.12","","","","51.50","1.00"
"ARGD","ARGD","-","","BB","9.50","05/30/2025","9/15/2017","9/15/2042","0.41","6.50%","24.35","21.31","-","-","","55.00","","","","","","20.24","-1.07","-4.11","20.50","21.59","-1.28","-6.24","19.19","22.71","19.19","24.24","20.08","0.89","-2.63","61.80","67.81","77.91","36.91","-4.16","0.89","55.83","84.94","7183.00","6632.00","7631.00","7149.00","53.11","","","","62.91","1.00"
"ARGO PRA","ARGO-A","-","NFF","","8.50","05/27/2025","9/15/2025","NONE","0.44","7.00%","","","-","-","","52.00","","","","","","25.14","","","25.03","24.95","0.42","0.77","24.59","25.36","20.76","25.49","24.95","0.36","-0.41","56.17","46.68","84.38","13.57","-0.54","4.19","15.27","63.51","15734.00","16987.00","14458.00","15726.00","53.11","","","","52.74","1.00"
"ARR PRC","ARR-C","ARR","","","8.00","05/15/2025","1/28/2025","","0.15","7.00%","22.60","18.06","81.90","Reit","","40.00","","","","","","21.06","3.00","-1.54","20.90","21.64","0.77","-2.68","19.27","23.58","17.85","23.58","20.98","1.71","-2.60","55.01","57.08","67.89","36.60","-2.60","3.13","38.35","70.39","10313.00","9689.00","10056.00","10020.00","37.01","","","","52.86","1.00"
"ASBA","ASBA","ASB","NFF","","11.00","05/15/2025","3/1/2028","3/1/2033","0.41","6.63%","","","165.95","Regionalbank","","40.00","","","","","","23.97","","","24.06","24.19","-0.36","-0.91","22.99","25.30","18.82","25.30","23.74","0.75","-1.56","58.75","51.75","79.62","25.66","-1.56","4.92","26.69","58.77","17098.00","14281.00","11946.00","14442.00","55.46","48.25","65.82","78.92","56.19","1.00"
"ATCO PRD","ATCO-D","-","","","8.00","07/25/2025","1/30/2018","NONE","0.50","7.95%","25.27","23.86","-","-","","21.00","","","","","","25.35","1.50","0.09","25.05","25.10","1.25","1.02","24.14","25.98","22.11","25.98","24.98","0.84","-1.00","53.43","45.93","78.52","19.78","-1.00","2.87","20.42","72.08","4832.00","6354.00","10693.00","7293.00","53.11","","","","50.82","1.00"
"ATCO PRH","ATCO-H","-","","","8.00","07/25/2025","8/11/2021","NONE","0.49","7.88%","24.95","22.38","-","-","","21.00","","","","","","25.51","3.13","0.56","24.89","24.94","2.50","2.28","23.78","27.47","21.36","27.47","25.13","1.35","-2.34","49.29","42.13","72.29","33.86","-2.34","3.77","35.43","66.23","11658.00","14337.00","24949.00","16982.00","53.11","","","","48.25","1.00"
"ATCOL","ATCOL","-","","","8.00","07/15/2025","5/13/2023","10/30/2027","0.45","7.13%","","","-","-","","11.00","","","","","","25.32","","","24.96","25.04","1.44","1.11","22.45","25.33","22.45","25.90","24.93","2.48","-0.40","52.80","45.66","58.49","13.47","-0.97","2.48","20.08","74.61","2074.00","2592.00","2985.00","2550.00","53.11","","","","50.16","1.00"
"ATH PRA","ATH-A","-","NFF","","11.50","06/13/2025","6/30/2029","NONE","0.40","6.35%","","","-","-","","69.00","","","","","","24.90","","","24.15","24.56","3.09","1.37","21.60","25.71","19.81","25.71","24.81","3.21","-0.90","47.34","44.88","49.57","18.73","-0.90","5.00","19.30","58.25","38939.00","39289.00","51949.00","43393.00","53.11","","","","50.22","1.00"
