PREF IBKR,CMON,Sector,IMPLIED_SOLIDITY,CALCULATED_SOLIDITY,ERROR,CRDT SCORE_,COM_MKTCAP,COM_LAST_PRICE,COM_52W_LOW,COM_52W_HIGH
CFG PRE,CFG,Bank,45.99788806758182,56.402102102102106,10.404214034520287,10.0,20.67,47.67,32.6,49.25
CFR PRB,CFR,Bank,50.814767663908285,55.5453697443482,4.730602080439915,11.5,8.77,136.4,100.31,147.64
FITBO,FITB,Bank,54.62686567164177,47.65108799048751,6.975777681154256,10.5,29.21,43.76,32.25,49.07
FCNCP,FCNCA,Bank,46.65014866204163,46.34719299272871,0.3029556693129223,9.5,27.78,2117.62,1473.62,2412.93
FCNCO,FCNCA,Bank,52.75781855776686,46.34719299272871,6.410625565038153,9.5,27.78,2117.62,1473.62,2412.93
HBANP,HBAN,Bank,48.49315068493151,55.058409785932724,6.565259101001217,10.0,25.33,17.39,11.91,18.45
HBANM,HBAN,Bank,48.05157593123206,53.728409785932726,5.676833854700668,9.0,25.33,17.39,11.91,18.45
KEY PRK,KEY,Bank,44.83934124150641,54.292868852459016,9.453527610952605,10.5,20.09,18.33,12.72,20.04
KEY PRJ,KEY,Bank,45.129682997118174,54.292868852459016,9.163185855340842,10.5,20.09,18.33,12.72,20.04
WBS PRF,WBS,Bank,37.43354118805384,54.138762214983714,16.705221026929877,10.0,9.91,58.88,39.43,63.99
AEFC,AEG,Insurance,47.0347003154574,62.73026315789474,15.69556284243734,12.5,11.01,6.95,5.42,7.32
MGR,AMG,Asset Mgr,35.52407932011332,60.0592299869243,24.535150666810978,12.0,5.83,204.95,139.22,208.05
MGRB,AMG,Asset Mgr,39.441872106119405,60.0592299869243,20.617357880804896,12.0,5.83,204.95,139.22,208.05
MGRD,AMG,Asset Mgr,40.422960725075534,60.0592299869243,19.636269261848767,12.0,5.83,204.95,139.22,208.05
ADC PRA,ADC,eREIT,49.84387838948234,44.45256020278835,5.391318186693994,11.0,7.88,71.62,63.87,79.65
ALL PRI,ALL,Insurance,56.612903225806434,48.231753941989496,8.381149283816939,12.0,51.2,193.33,161.81,213.18
ALL PRH,ALL,Insurance,59.10656119125179,48.231753941989496,10.874807249262297,12.0,51.2,193.33,161.81,213.18
AFGB,AFG,Insurance,38.09128630705395,41.83194303440496,3.740656727351009,11.5,10.55,126.32,114.73,150.19
AFGC,AFG,Insurance,40.89743589743591,41.83194303440496,0.9345071369690459,11.5,10.55,126.32,114.73,150.19
AFGD,AFG,Insurance,39.70307529162249,41.83194303440496,2.128867742782468,11.5,10.55,126.32,114.73,150.19
AFGE,AFG,Insurance,43.85696040868458,41.83194303440496,2.0250173742796207,11.5,10.55,126.32,114.73,150.19
ACGLO,ACGL,Insurance,41.93181818181818,38.443911124190706,3.487907057627474,11.5,32.92,87.84,82.49,116.47
ACGLN,ACGL,Insurance,40.34482758620688,39.108911124190705,1.2359164620161778,12.0,32.92,87.84,82.49,116.47
AIZN,AIZ,Insurance,44.83882919599852,40.25691747572815,4.581911720270369,10.0,9.51,187.56,164.63,230.55
TBB,T,Telecom,65.75092162205479,56.94190045248868,8.809021169566108,12.0,194.07,26.97,18.14,29.19
T PRA,T,Telecom,54.69375560203167,54.281900452488685,0.41185514954298696,10.0,194.07,26.97,18.14,29.19
T PRC,T,Telecom,55.08694277584569,54.281900452488685,0.8050423233570072,10.0,194.07,26.97,18.14,29.19
