PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,Div adj.price
ABLLL,ABLLL,ABL,,BB,8.00,05/13/2025,2/15/2027,11/15/2028,0.62,9.88%,,,95.62,Insurance,,38.00,,,,,,24.88,,,25.41,26.18,-2.07,-4.95,20.52,38.50,20.52,38.50,24.52
ABR PRD,ABR-D,ABR,,,8.00,06/17/2025,6/2/2026,NONE,0.40,6.38%,21.35,16.60,192.08,Reit,,73.00,,,,,,17.92,1.32,-3.43,17.52,18.26,2.30,-1.86,16.75,19.95,15.90,19.98,17.84
ABR PRE,ABR-E,ABR,,,8.00,06/17/2025,8/11/2026,NONE,0.39,6.25%,21.35,16.60,192.08,Reit,,73.00,,,,,,17.53,0.93,-3.82,17.14,18.06,2.28,-2.96,16.30,20.60,16.00,20.94,17.46
ABR PRF,ABR-F,ABR,NFF,,8.00,07/11/2025,10/30/2026,NONE,0.39,6.25%,,,192.08,Reit,,7.00,,,,,,21.12,,,21.04,20.62,0.36,2.41,19.40,23.30,17.15,23.30,20.76
ACR PRC,ACR-C,ACR,FF,,8.00,07/01/2025,7/30/2024,NONE,0.64,8.63%,,,7.39,Reit,,87.00,,,,,,24.51,,,24.84,24.89,-1.33,-1.52,22.61,25.53,21.49,25.53,24.49
ACR PRD,ACR-D,ACR,,,8.00,07/01/2025,5/21/2026,NONE,0.49,7.88%,20.50,18.57,7.39,Reit,,87.00,,,,,,22.13,3.56,1.63,21.31,22.20,3.85,-0.30,18.12,23.48,17.69,24.49,22.11
AGNCL,AGNCL,AGNC,FF,,8.00,07/01/2025,10/15/2027,NONE,0.48,7.75%,,,1020.48,Reit,,87.00,,,,,,24.74,,,24.96,24.72,-0.87,0.07,22.84,26.59,19.78,26.59,24.72
AGNCM,AGNCM,AGNC,FF,,8.00,07/01/2025,4/15/2024,NONE,0.56,6.88%,,,1020.48,Reit,,87.00,,,,,,24.57,,,24.79,25.06,-0.87,-1.96,23.01,25.60,20.47,25.85,24.55
AGNCN,AGNCN,AGNC,FF,,8.00,07/01/2025,10/15/2022,NONE,0.61,7.00%,,,1020.48,Reit,,87.00,,,,,,25.26,,,25.63,25.69,-1.43,-1.69,23.63,26.59,23.63,26.59,25.24
AGNCO,AGNCO,AGNC,FF,,8.00,07/01/2025,10/15/2024,NONE,0.60,6.50%,,,1020.48,Reit,,87.00,,,,,,25.18,,,25.34,25.23,-0.63,-0.20,23.68,25.95,20.85,25.95,25.16
AGNCP,AGNCP,AGNC,FF,,8.00,07/01/2025,4/15/2025,NONE,0.38,6.13%,,,1020.48,Reit,,87.00,,,,,,24.90,,,24.93,24.65,-0.11,1.02,23.37,25.48,19.61,25.48,24.89
AHL PRF,AHL-F,-,,,10.00,06/12/2025,11/30/2029,NONE,0.61,7.00%,,,-,-,,68.00,,,,,,24.00,,,,,,,21.28,26.21,21.28,26.21,23.85
ALL PRB,ALL-B,ALL,FF,,12.50,06/27/2025,1/15/2023,1/15/2053,0.48,5.10%,,,264.67,Insurance,,83.00,,,,,,25.69,,,25.92,26.00,-0.87,-1.17,25.01,27.00,25.01,27.00,25.65
ALL PRJ,ALL-J,ALL,,,12.00,06/27/2025,7/15/2028,NONE,0.46,7.38%,,25.29,264.67,Insurance,,83.00,,,,,,26.60,1.31,,26.61,26.97,-0.02,-1.36,25.56,27.95,25.15,28.22,26.56
ALTG PRA,ALTG-A,ALTG,,,8.00,07/11/2025,12/22/2025,NONE,0.63,10.00%,26.75,25.75,33.19,Rental&leasingservices,,7.00,,,,,,25.45,-0.30,-1.30,24.84,25.38,2.44,0.27,23.05,26.15,23.05,27.00,24.87
ANG PRB,ANG-B,-,FF,,9.00,05/16/2025,9/1/2025,NONE,0.41,6.63%,,,-,-,,41.00,,,,,,25.17,,,25.05,25.02,0.46,0.58,24.76,25.90,22.00,25.90,24.95
ANG PRD,ANG-D,-,,,9.00,06/30/2025,1/15/2030,,0.49,7.38%,,,-,-,,86.00,,,,,,26.11,,,,,,,23.54,26.54,23.54,26.54,26.09
AOMN,AOMN,AOMR,,BB,8.00,07/14/2025,7/30/2026,7/30/2029,0.59,9.50%,,,23.50,Reit,,10.00,,,,,,25.04,,,,,,,23.60,26.09,23.60,26.10,24.52
APOS,APOS,APO,NFF,,13.00,05/30/2025,12/15/2028,9/15/2053,0.48,7.63%,,,571.72,Assetmanagement,,55.00,,,,,,26.37,,,26.31,26.70,0.25,-1.23,24.89,27.61,24.89,27.77,26.18
AQNB,AQNB,AQN,FF,,9.00,06/13/2025,7/1/2024,7/1/2079,0.55,6.20%,,,789.65,Utilities,,69.00,,,,,,25.63,,,25.39,25.48,0.95,0.59,24.59,26.09,22.71,26.50,25.50
ARGD,ARGD,-,,BB,9.50,05/30/2025,9/15/2017,9/15/2042,0.41,6.50%,24.35,21.31,-,-,,55.00,,,,,,20.24,-1.07,-4.11,20.50,21.59,-1.28,-6.24,19.19,22.71,19.19,24.24,20.08
ARGO PRA,ARGO-A,-,NFF,,8.50,05/27/2025,9/15/2025,NONE,0.44,7.00%,,,-,-,,52.00,,,,,,25.14,,,25.03,24.95,0.42,0.77,24.59,25.36,20.76,25.49,24.95
ARR PRC,ARR-C,ARR,,,8.00,05/15/2025,1/28/2025,,0.15,7.00%,22.60,18.06,81.90,Reit,,40.00,,,,,,21.06,3.00,-1.54,20.90,21.64,0.77,-2.68,19.27,23.58,17.85,23.58,20.98
ASBA,ASBA,ASB,NFF,,11.00,05/15/2025,3/1/2028,3/1/2033,0.41,6.63%,,,165.95,Regionalbank,,40.00,,,,,,23.97,,,24.06,24.19,-0.36,-0.91,22.99,25.30,18.82,25.30,23.74
ATCO PRD,ATCO-D,-,,,8.00,07/25/2025,1/30/2018,NONE,0.50,7.95%,25.27,23.86,-,-,,21.00,,,,,,25.36,1.50,0.09,25.05,25.10,1.25,1.02,24.14,25.98,22.11,25.98,24.98
ATCO PRH,ATCO-H,-,,,8.00,07/25/2025,8/11/2021,NONE,0.49,7.88%,24.95,22.38,-,-,,21.00,,,,,,25.51,3.13,0.56,24.89,24.94,2.50,2.28,23.78,27.47,21.36,27.47,25.13
ATCOL,ATCOL,-,,,8.00,07/15/2025,5/13/2023,10/30/2027,0.45,7.13%,,,-,-,,11.00,,,,,,25.32,,,24.96,25.04,1.44,1.11,22.45,25.33,22.45,25.90,24.93
ATH PRA,ATH-A,-,NFF,,11.50,06/13/2025,6/30/2029,NONE,0.40,6.35%,,,-,-,,69.00,,,,,,24.90,,,24.15,24.56,3.09,1.37,21.60,25.71,19.81,25.71,24.81
