PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV
ABLLL,ABLLL,ABL,,BB,8.0,05/13/2025,2/15/2027,11/15/2028,0.62,9.88%,,,95.62,Insurance,,44.0,,,,,,24.79,,,25.5,26.19,-2.79,-5.35,20.52,38.5,20.52,38.5,24.47,3.95,-14.03,60.201578,65.562701,39.147287,,-14.03,3.95,,64.140753,11349,12656,13749,12585
ABR PRD,ABR-D,ABR,,,8.0,06/17/2025,6/2/2026,NONE,0.4,6.38%,21.35,16.6,192.08,Reit,,79.0,,,,,,17.61,1.01,-3.74,17.53,18.27,0.48,-3.64,16.75,19.98,15.9,19.98,17.56,0.81,-2.42,48.737949,59.278824,78.093023,34.856397,-2.42,1.66,34.010088,79.13257,14645,14263,9123,12677
ABR PRE,ABR-E,ABR,,,8.0,06/17/2025,8/11/2026,NONE,0.39,6.25%,21.35,16.6,192.08,Reit,,79.0,,,,,,17.25,0.65,-4.1,17.14,18.08,0.63,-4.57,16.3,20.6,16.0,20.94,17.2,0.9,-3.4,48.212095,62.696371,76.976744,45.091384,-3.74,1.2,47.326608,82.144026,7809,9423,4678,7303
ABR PRF,ABR-F,ABR,NFF,,8.0,07/11/2025,10/30/2026,NONE,0.39,6.25%,,,192.08,Reit,,13.0,,,,,,20.4,,,21.12,20.61,-3.41,-1.04,19.19,23.3,17.15,23.3,20.07,0.88,-3.23,62.37511,49.724391,77.224806,43.315927,-3.23,2.92,42.181589,70.883797,19810,15554,11504,15623
ACR PRC,ACR-C,ACR,FF,,8.0,07/01/2025,7/30/2024,NONE,0.64,8.63%,,,7.39,Reit,,3.0,,,,,,25.32,,,24.85,24.89,1.87,1.74,22.61,25.53,20.85,25.53,24.7,2.09,-0.83,43.865031,39.508498,62.217054,18.250653,-0.83,3.85,17.969735,64.795417,7698,6054,4256,6003
ACR PRD,ACR-D,ACR,,,8.0,07/01/2025,5/21/2026,NONE,0.49,7.88%,20.5,18.57,7.39,Reit,,3.0,,,,,,22.45,3.88,1.95,21.31,22.18,5.36,1.22,18.12,23.48,17.69,24.49,21.98,3.86,-1.5,31.630149,41.419384,40.263566,25.248042,-2.51,4.29,34.918033,61.914894,6399,8442,6008,6950
AGNCL,AGNCL,AGNC,FF,,8.0,07/01/2025,10/15/2027,NONE,0.48,7.75%,,,1020.48,Reit,,3.0,,,,,,25.16,,,24.97,24.71,0.74,1.8,22.84,26.59,19.78,26.59,24.7,1.86,-1.89,47.826468,39.288011,65.069767,29.321149,-1.89,4.92,28.663304,57.790507,14240,12842,12191,13091
AGNCM,AGNCM,AGNC,FF,,8.0,07/01/2025,4/15/2024,NONE,0.56,6.88%,,,1020.48,Reit,,3.0,,,,,,25.34,,,24.81,25.07,2.15,1.09,23.01,25.6,20.47,25.85,24.8,1.79,-0.8,42.883436,41.897106,65.937984,17.937337,-1.05,4.33,20.189155,61.653028,14303,15915,12162,14127
AGNCN,AGNCN,AGNC,FF,,8.0,07/01/2025,10/15/2022,NONE,0.61,7.00%,,,1020.48,Reit,,3.0,,,,,,25.83,,,25.64,25.7,0.73,0.5,23.63,26.59,23.63,26.59,25.24,1.61,-1.35,47.861525,44.065227,68.170543,23.681462,-1.35,1.61,23.215637,79.459902,22150,22761,14768,19893
AGNCO,AGNCO,AGNC,FF,,8.0,07/01/2025,10/15/2024,NONE,0.6,6.50%,,,1020.48,Reit,,3.0,,,,,,25.71,,,25.35,25.22,1.42,1.92,23.68,25.95,20.85,25.95,25.13,1.45,-0.82,45.442594,38.847037,70.155039,18.146214,-0.82,4.28,17.868852,61.98036,32088,29412,19310,26937
