Export_Time,Symbol,Book,Strategy,Origin,Side,Full_Taxonomy,Position_Type,Quantity,Avg_Cost,Market_Value,Unrealized_PnL,Account
2026-04-07 16:35:43,PSA PRI,MM,MM,OV,Long,MM OV Long,LONG,18.0,18.72,336.96,0,HAMPRO
2026-04-07 16:35:43,CHMI PRB,MM,MM,OV,Long,MM OV Long,LONG,108.0,22.98,2481.84,0,HAMPRO
2026-04-07 16:35:43,TCBIO,MM,MM,OV,Short,MM OV Short,SHORT,-1417.0,21.77,30848.09,0,HAMPRO
2026-04-07 16:35:43,RF PRF,MM,MM,OV,Short,MM OV Short,SHORT,-43.0,25.16,1081.88,0,HAMPRO
2026-04-07 16:35:43,PBI PRB,MM,MM,OV,Short,MM OV Short,SHORT,-50.0,19.26,963.0000000000001,0,HAMPRO
2026-04-07 16:35:43,BAC PRE,MM,MM,OV,Long,MM OV Long,LONG,154.0,18.86,2904.44,0,HAMPRO
2026-04-07 16:35:43,TRTN PRC,MM,MM,OV,Long,MM OV Long,LONG,5.0,24.545,122.72500000000001,0,HAMPRO
2026-04-07 16:35:43,SHO PRH,MM,MM,OV,Long,MM OV Long,LONG,69.0,20.285,1399.665,0,HAMPRO
2026-04-07 16:35:43,HIG PRG,MM,MM,OV,Short,MM OV Short,SHORT,-929.0,24.84,23076.36,0,HAMPRO
2026-04-07 16:35:43,GRBK PRA,MM,MM,OV,Long,MM OV Long,LONG,56.0,21.285,1191.96,0,HAMPRO
2026-04-07 16:35:43,HWCPZ,MM,MM,OV,Long,MM OV Long,LONG,608.0,22.05,13406.4,0,HAMPRO
2026-04-07 16:35:43,AOMN,MM,MM,OV,Long,MM OV Long,LONG,118.0,25.25,2979.5,0,HAMPRO
2026-04-07 16:35:43,VNO PRL,MM,MM,OV,Long,MM OV Long,LONG,107.0,16.78,1795.46,0,HAMPRO
2026-04-07 16:35:43,ALTG PRA,MM,MM,OV,Long,MM OV Long,LONG,18.0,25.2,453.59999999999997,0,HAMPRO
2026-04-07 16:35:43,CMS PRC,MM,MM,OV,Long,MM OV Long,LONG,534.0,16.7,8917.8,0,HAMPRO
2026-04-07 16:35:43,MHNC,MM,MM,OV,Long,MM OV Long,LONG,119.0,12.495,1486.905,0,HAMPRO
2026-04-07 16:35:43,OCCIN,MM,MM,OV,Long,MM OV Long,LONG,60.0,24.61,1476.6,0,HAMPRO
2026-04-07 16:35:43,GL PRD,MM,MM,OV,Long,MM OV Long,LONG,32.0,16.01,512.32,0,HAMPRO
2026-04-07 16:35:43,PNFP PRA,MM,MM,OV,Short,MM OV Short,SHORT,-31.0,25.52,791.12,0,HAMPRO
2026-04-07 16:35:43,MITT PRC,MM,MM,OV,Long,MM OV Long,LONG,20.0,24.5,490.0,0,HAMPRO
2026-04-07 16:35:43,AUB PRA,MM,MM,OV,Short,MM OV Short,SHORT,-100.0,24.38,2438.0,0,HAMPRO
2026-04-07 16:35:43,ECCU,MM,MM,OV,Long,MM OV Long,LONG,39.0,24.875,970.125,0,HAMPRO
2026-04-07 16:35:43,WFC PRZ,MM,MM,OV,Short,MM OV Short,SHORT,-100.0,19.13,1913.0,0,HAMPRO
2026-04-07 16:35:43,NSA PRA,MM,MM,OV,Long,MM OV Long,LONG,100.0,22.75,2275.0,0,HAMPRO
2026-04-07 16:35:43,MS PRK,MM,MM,OV,Short,MM OV Short,SHORT,-192.0,23.55,4521.6,0,HAMPRO
2026-04-07 16:35:43,FITBP,MM,MM,OV,Long,MM OV Long,LONG,6.0,23.3549,140.1294,0,HAMPRO
2026-04-07 16:35:43,VLYPP,MM,MM,OV,Long,MM OV Long,LONG,20.0,24.88,497.59999999999997,0,HAMPRO
2026-04-07 16:35:43,PSA PRM,MM,MM,OV,Long,MM OV Long,LONG,60.0,15.76,945.6,0,HAMPRO
2026-04-07 16:35:43,KEY PRJ,MM,MM,OV,Short,MM OV Short,SHORT,-92.0,21.1655,1947.226,0,HAMPRO
2026-04-07 16:35:43,OPP PRB,MM,MM,OV,Long,MM OV Long,LONG,100.0,18.25,1825.0,0,HAMPRO
2026-04-07 16:35:43,ACGLN,MM,MM,OV,Short,MM OV Short,SHORT,-38.0,16.63,631.9399999999999,0,HAMPRO
2026-04-07 16:35:43,WRB PRH,MM,MM,OV,Long,MM OV Long,LONG,1277.0,15.58,19895.66,0,HAMPRO
2026-04-07 16:35:43,AGM PRE,MM,MM,OV,Long,MM OV Long,LONG,33.0,21.265,701.745,0,HAMPRO
2026-04-07 16:35:43,BML PRJ,MM,MM,OV,Long,MM OV Long,LONG,30.0,19.75,592.5,0,HAMPRO
2026-04-07 16:35:43,MGR,MM,MM,OV,Long,MM OV Long,LONG,51.0,19.76,1007.7600000000001,0,HAMPRO
2026-04-07 16:35:43,REGCP,MM,MM,OV,Long,MM OV Long,LONG,6.0,23.0,138.0,0,HAMPRO
2026-04-07 16:35:43,MBINN,MM,MM,OV,Long,MM OV Long,LONG,100.0,19.85,1985.0000000000002,0,HAMPRO
2026-04-07 16:35:43,NMFCZ,MM,MM,OV,Long,MM OV Long,LONG,36.0,25.43,915.48,0,HAMPRO
2026-04-07 16:35:43,GOODO,MM,MM,OV,Long,MM OV Long,LONG,44.0,19.6,862.4000000000001,0,HAMPRO
2026-04-07 16:35:43,CHMI PRA,MM,MM,OV,Long,MM OV Long,LONG,42.0,20.49,860.5799999999999,0,HAMPRO
2026-04-07 16:35:43,VLYPO,MM,MM,OV,Short,MM OV Short,SHORT,-75.0,24.75,1856.25,0,HAMPRO
2026-04-07 16:35:43,WFC PRA,MM,MM,OV,Short,MM OV Short,SHORT,-500.0,18.93,9465.0,0,HAMPRO
2026-04-07 16:35:43,PSA PRJ,MM,MM,OV,Short,MM OV Short,SHORT,-29.0,18.03,522.87,0,HAMPRO
2026-04-07 16:35:43,WRB PRE,MM,MM,OV,Long,MM OV Long,LONG,68.0,21.17,1439.5600000000002,0,HAMPRO
2026-04-07 16:35:43,KKRS,MM,MM,OV,Long,MM OV Long,LONG,300.0,16.24,4871.999999999999,0,HAMPRO
2026-04-07 16:35:43,DCOMP,MM,MM,OV,Short,MM OV Short,SHORT,-58.0,18.51,1073.5800000000002,0,HAMPRO
2026-04-07 16:35:43,HBANZ,MM,MM,OV,Short,MM OV Short,SHORT,-118.0,20.51,2420.1800000000003,0,HAMPRO
2026-04-07 16:35:43,DBRG PRH,MM,MM,OV,Long,MM OV Long,LONG,15.0,16.46,246.9,0,HAMPRO
2026-04-07 16:35:43,CFR PRB,MM,MM,OV,Long,MM OV Long,LONG,100.0,17.0,1700.0,0,HAMPRO
2026-04-07 16:35:43,MHLA,MM,MM,OV,Long,MM OV Long,LONG,198.0,11.48,2273.04,0,HAMPRO
2026-04-07 16:35:43,TRTN PRA,MM,MM,OV,Short,MM OV Short,SHORT,-430.0,25.73,11063.9,0,HAMPRO
2026-04-07 16:35:43,AIZN,MM,MM,OV,Long,MM OV Long,LONG,84.0,19.605,1646.82,0,HAMPRO
2026-04-07 16:35:43,EFSCP,MM,MM,OV,Long,MM OV Long,LONG,8.0,19.5,156.0,0,HAMPRO
2026-04-07 16:35:43,SF PRD,MM,MM,OV,Short,MM OV Short,SHORT,-234.0,16.86,3945.24,0,HAMPRO
2026-04-07 16:35:43,CHSCM,MM,MM,OV,Short,MM OV Short,SHORT,-29.0,24.59,713.11,0,HAMPRO
2026-04-07 16:35:43,UMBFO,MM,MM,OV,Long,MM OV Long,LONG,65.0,25.835,1679.275,0,HAMPRO
2026-04-07 16:35:43,AMH PRG,MM,MM,OV,Long,MM OV Long,LONG,51.0,22.705,1157.955,0,HAMPRO
2026-04-07 16:35:43,ATH PRB,MM,MM,OV,Long,MM OV Long,LONG,282.0,19.04,5369.28,0,HAMPRO
2026-04-07 16:35:43,DTB,MM,MM,OV,Long,MM OV Long,LONG,100.0,16.47,1647.0,0,HAMPRO
2026-04-07 16:35:43,WFC PRD,MM,MM,OV,Short,MM OV Short,SHORT,-100.0,17.28,1728.0,0,HAMPRO
2026-04-07 16:35:43,AFGD,MM,MM,OV,Long,MM OV Long,LONG,84.0,19.9,1671.6,0,HAMPRO
2026-04-07 16:35:43,PSA PRN,MM,MM,OV,Long,MM OV Long,LONG,9.0,14.81,133.29,0,HAMPRO
2026-04-07 16:35:43,LANDO,MM,MM,OV,Long,MM OV Long,LONG,90.0,20.3,1827.0,0,HAMPRO
2026-04-07 16:35:43,MET PRF,MM,MM,OV,Long,MM OV Long,LONG,1122.0,18.67,20947.74,0,HAMPRO
2026-04-07 16:35:43,CIM PRD,MM,MM,OV,Long,MM OV Long,LONG,19.0,22.43,426.17,0,HAMPRO
2026-04-07 16:35:43,KKRT,MM,MM,OV,Long,MM OV Long,LONG,1.0,23.84,23.84,0,HAMPRO
2026-04-07 16:35:43,JPM PRD,MM,MM,OV,Long,MM OV Long,LONG,100.0,24.58,2458.0,0,HAMPRO
2026-04-07 16:35:43,NCV PRA,MM,MM,OV,Long,MM OV Long,LONG,47.0,20.64,970.08,0,HAMPRO
2026-04-07 16:35:43,DLR PRL,MM,MM,OV,Long,MM OV Long,LONG,100.0,19.57,1957.0,0,HAMPRO
2026-04-07 16:35:43,ATH PRE,MM,MM,OV,Long,MM OV Long,LONG,74.0,24.71,1828.54,0,HAMPRO
2026-04-07 16:35:43,UNMA,MM,MM,OV,Long,MM OV Long,LONG,100.0,22.99,2299.0,0,HAMPRO
2026-04-07 16:35:43,MFA PRC,MM,MM,OV,Long,MM OV Long,LONG,11.0,22.39,246.29000000000002,0,HAMPRO
2026-04-07 16:35:43,CHSCL,MM,MM,OV,Short,MM OV Short,SHORT,-293.0,25.44,7453.92,0,HAMPRO
2026-04-07 16:35:43,HBANM,MM,MM,OV,Long,MM OV Long,LONG,112.0,21.79,2440.48,0,HAMPRO
2026-04-07 16:35:43,PSA PRK,MM,MM,OV,Long,MM OV Long,LONG,123.0,18.46,2270.58,0,HAMPRO
2026-04-07 16:35:43,NCZ PRA,MM,MM,OV,Long,MM OV Long,LONG,75.0,20.06,1504.5,0,HAMPRO
2026-04-07 16:35:43,WRB PRF,MM,MM,OV,Long,MM OV Long,LONG,299.0,18.92,5657.080000000001,0,HAMPRO
2026-04-07 16:35:43,EQH PRA,MM,MM,OV,Short,MM OV Short,SHORT,-114.0,19.94,2273.1600000000003,0,HAMPRO
2026-04-07 16:35:43,CNOBP,MM,MM,OV,Long,MM OV Long,LONG,2.0,24.6201,49.2402,0,HAMPRO
2026-04-07 16:35:43,GOODN,MM,MM,OV,Long,MM OV Long,LONG,21.0,22.205,466.30499999999995,0,HAMPRO
2026-04-07 16:35:43,ALL PRJ,MM,MM,OV,Long,MM OV Long,LONG,1161.0,25.55,29663.55,0,HAMPRO
2026-04-07 16:35:43,ANG PRD,MM,MM,OV,Long,MM OV Long,LONG,748.0,23.8,17802.4,0,HAMPRO
2026-04-07 16:35:43,PEB PRF,MM,MM,OV,Long,MM OV Long,LONG,108.0,19.65,2122.2,0,HAMPRO
2026-04-07 16:35:43,UZE,MM,MM,OV,Long,MM OV Long,LONG,100.0,18.02,1802.0,0,HAMPRO
2026-04-07 16:35:43,OXLCL,MM,MM,OV,Long,MM OV Long,LONG,100.0,23.7,2370.0,0,HAMPRO
2026-04-07 16:35:43,SYF PRB,MM,MM,OV,Long,MM OV Long,LONG,101.0,25.3901,2564.4001,0,HAMPRO
2026-04-07 16:35:43,MFAN,MM,MM,OV,Long,MM OV Long,LONG,100.0,25.11,2511.0,0,HAMPRO
2026-04-07 16:35:43,BK PRK,MM,MM,OV,Long,MM OV Long,LONG,10.0,25.4,254.0,0,HAMPRO
2026-04-07 16:35:43,VOYA PRB,MM,MM,OV,Long,MM OV Long,LONG,6.0,23.11,138.66,0,HAMPRO
2026-04-07 16:35:43,MS PRA,MM,MM,OV,Long,MM OV Long,LONG,10.0,19.24,192.39999999999998,0,HAMPRO
2026-04-07 16:35:43,GPJA,MM,MM,OV,Long,MM OV Long,LONG,18.0,21.81,392.58,0,HAMPRO
2026-04-07 16:35:43,MS PRO,MM,MM,OV,Long,MM OV Long,LONG,98.0,17.26,1691.4800000000002,0,HAMPRO
2026-04-07 16:35:43,DLR PRK,MM,MM,OV,Long,MM OV Long,LONG,12.0,22.09,265.08,0,HAMPRO
2026-04-07 16:35:43,OXLCZ,MM,MM,OV,Long,MM OV Long,LONG,6.0,24.5001,147.0006,0,HAMPRO
2026-04-07 16:35:43,CTO PRA,MM,MM,OV,Short,MM OV Short,SHORT,-100.0,20.13,2013.0,0,HAMPRO
2026-04-07 16:35:43,CHSCO,MM,MM,OV,Short,MM OV Short,SHORT,-104.0,26.11,2715.44,0,HAMPRO
2026-04-07 16:35:43,BAC PRM,MM,MM,OV,Short,MM OV Short,SHORT,-842.0,21.91,18448.22,0,HAMPRO
2026-04-07 16:35:43,TPGXL,MM,MM,OV,Long,MM OV Long,LONG,51.0,24.97,1273.47,0,HAMPRO
2026-04-07 16:35:43,CMSC,MM,MM,OV,Long,MM OV Long,LONG,63.0,22.18,1397.34,0,HAMPRO
2026-04-07 16:35:43,TWO PRC,MM,MM,OV,Long,MM OV Long,LONG,11.0,24.99,274.89,0,HAMPRO
2026-04-07 16:35:43,ASB PRE,MM,MM,OV,Long,MM OV Long,LONG,2.0,20.6,41.2,0,HAMPRO
2026-04-07 16:35:43,ALL PRB,MM,MM,OV,Long,MM OV Long,LONG,6.0,25.69,154.14000000000001,0,HAMPRO
2026-04-07 16:35:43,MS PRL,MM,MM,OV,Long,MM OV Long,LONG,92.0,20.08,1847.36,0,HAMPRO
2026-04-07 16:35:43,RIV PRA,MM,MM,OV,Long,MM OV Long,LONG,97.0,22.46,2178.62,0,HAMPRO
2026-04-07 16:35:43,PRIF PRK,MM,MM,OV,Short,MM OV Short,SHORT,-170.0,21.7,3689.0,0,HAMPRO
2026-04-07 16:35:43,DBRG PRJ,MM,MM,OV,Long,MM OV Long,LONG,12.0,16.48,197.76,0,HAMPRO
2026-04-07 16:35:43,FHN PRE,MM,MM,OV,Long,MM OV Long,LONG,45.0,24.25,1091.25,0,HAMPRO
2026-04-07 16:35:43,PSEC PRA,MM,MM,OV,Long,MM OV Long,LONG,10.0,16.31,163.1,0,HAMPRO
2026-04-07 16:35:43,SF PRB,MM,MM,OV,Long,MM OV Long,LONG,45.0,23.58,1061.1,0,HAMPRO
2026-04-07 16:35:43,F PRD,MM,MM,OV,Long,MM OV Long,LONG,802.0,21.23,17026.46,0,HAMPRO
2026-04-07 16:35:43,SOJD,MM,MM,OV,Long,MM OV Long,LONG,36.0,19.71,709.5600000000001,0,HAMPRO
2026-04-07 16:35:43,BAC PRN,MM,MM,OV,Short,MM OV Short,SHORT,-1257.0,20.49,25755.929999999997,0,HAMPRO
2026-04-07 16:35:43,AGNCO,MM,MM,OV,Short,MM OV Short,SHORT,-381.0,24.68,9403.08,0,HAMPRO
2026-04-07 16:35:43,AGNCP,MM,MM,OV,Short,MM OV Short,SHORT,-971.0,23.86,23168.059999999998,0,HAMPRO
2026-04-07 16:35:43,ACR PRD,MM,MM,OV,Long,MM OV Long,LONG,4.0,21.31,85.24,0,HAMPRO
2026-04-07 16:35:43,RF PRC,MM,MM,OV,Long,MM OV Long,LONG,269.0,23.81,6404.889999999999,0,HAMPRO
2026-04-07 16:35:43,TFC PRR,MM,MM,OV,Long,MM OV Long,LONG,100.0,18.345,1834.5,0,HAMPRO
