symbol,total_qty,weighted_avg_cost,weighted_pff_fill,weighted_time_fill,last_updated
ACGLN,-38,16.47,31.4192,29.36,2026-04-06T22:11:12.181436
ACR PRD,87,21.935,31.25,20.0,2026-03-28T15:09:43.171051
AFGD,0,19.98,31.12,22.0,2026-04-07T22:08:08.263032
AGM PRE,33,21.69,31.25,20.0,2026-03-28T15:09:43.171051
AHL PRE,-441,20.67,31.25,20.0,2026-03-28T15:09:43.171051
AHRT PRA,100,22.08,31.25,20.0,2026-03-28T15:09:43.171051
AIZN,24,19.79,31.5996,39.8,2026-04-07T21:06:43.799231
ALL PRB,6,25.73,31.25,20.0,2026-03-28T15:09:43.171051
ALL PRJ,1261,26.01,31.25,20.0,2026-03-28T15:09:43.171051
ALTG PRA,18,24.89,31.25,20.0,2026-03-28T15:09:43.171051
AMH PRG,51,22.8,31.25,20.0,2026-03-28T15:09:43.171051
ANG PRD,1112,24.31,31.25,20.0,2026-03-28T15:09:43.171051
AOMN,0,24.75,31.0544,16.54,2026-04-08T18:08:47.666074
AQNB,0,25.7,31.42,24.0,2026-04-06T22:25:10.001291
ASB PRE,2,20.7,31.25,20.0,2026-03-28T15:09:43.171051
ATH PRA,477,23.43,31.25,20.0,2026-03-28T15:09:43.171051
ATH PRB,532,18.81,31.25,20.0,2026-03-28T15:09:43.171051
ATH PRE,74,24.98,31.25,20.0,2026-03-28T15:09:43.171051
AUB PRA,-100,24.65,31.25,20.0,2026-03-28T15:09:43.171051
BAC PRE,100,19.25,31.25,20.0,2026-03-28T15:09:43.171051
BAC PRM,-100,21.655,31.25,20.0,2026-03-28T15:09:43.171051
BHFAM,0,10.86,31.2332,23.44,2026-04-06T22:03:16.465556
BHFAO,3,16.68,30.32,0.0,2026-04-07T17:11:11.727322
BK PRK,10,25.15,31.25,20.0,2026-03-28T15:09:43.171051
BML PRJ,30,19.54,31.25,20.0,2026-03-28T15:09:43.171051
BOH PRB,100,26.18,31.25,20.0,2026-03-28T15:09:43.171051
CFR PRB,100,17.36,31.25,20.0,2026-03-28T15:09:43.171051
CHMI PRA,42,20.9757,31.25,20.0,2026-03-28T15:09:43.171051
CHMI PRB,108,23.6342,31.25,20.0,2026-03-28T15:09:43.171051
CHSCL,-281,25.31,30.7498,12.0,2026-04-07T21:40:21.284361
CHSCM,-29,24.2,30.71,9.0,2026-03-28T15:09:43.171051
CHSCO,0,25.91,31.2902,24.38,2026-04-07T22:09:14.812641
CIM PRD,19,21.835,31.25,20.0,2026-03-28T15:09:43.171051
CLDT PRA,-385,20.13,31.25,20.0,2026-03-28T15:09:43.171051
CMS PRC,659,16.74,31.25,20.0,2026-03-28T15:09:43.171051
CMSC,63,22.82,31.6394,31.06,2026-03-28T15:09:43.171051
CNOBP,2,24.47,31.28,25.0,2026-03-28T15:09:43.171051
COF PRN,300,15.76,31.25,20.0,2026-03-28T15:09:43.171051
CTO PRA,-100,19.79,31.25,20.0,2026-03-28T15:09:43.171051
DBRG PRH,15,16.66,31.25,20.0,2026-03-28T15:09:43.171051
DBRG PRJ,12,16.7395,31.25,20.0,2026-03-28T15:09:43.171051
DCOMG,379,26.1502,30.668,7.66,2026-03-28T15:09:43.171051
DCOMP,-58,18.5,31.2131,23.75,2026-03-28T15:09:43.171051
DLR PRJ,105,20.42,31.25,20.0,2026-03-28T15:09:43.171051
DLR PRK,12,22.36,31.25,20.0,2026-03-28T15:09:43.171051
