symbol,total_qty,weighted_avg_cost,weighted_pff_fill,weighted_time_fill,last_updated
ACGLN,900,17.3843,31.0906,18.94,2026-03-28T15:09:43.171051
ACP PRA,400,20.36,31.13,51.0,2026-03-28T15:09:43.171051
AFGB,2325,21.4053,31.4254,27.37,2026-04-07T20:52:31.868607
AFGC,247,18.1561,31.25,20.0,2026-03-28T15:09:43.171051
AFGD,183,20.0717,30.6426,5.51,2026-04-08T22:35:33.611963
AFGE,0,16.71,31.8,39.0,2026-04-07T21:11:59.752156
AGM PRD,130,21.295,31.25,20.0,2026-03-28T15:09:43.171051
AUB PRA,-1718,23.8311,31.1537,18.07,2026-04-08T22:59:31.797112
BAC PRO,241,17.3022,31.25,20.0,2026-03-28T15:09:43.171051
BAC PRQ,200,16.955,31.25,20.0,2026-03-28T15:09:43.171051
BAC PRS,801,18.715,31.25,20.0,2026-03-28T15:09:43.171051
BHFAL,365,19.297,31.1114,20.16,2026-04-08T22:33:49.041190
BHFAM,200,14.455,31.28,25.0,2026-03-28T15:09:43.171051
BHFAN,800,15.6525,31.1353,21.08,2026-03-28T15:09:43.171051
BHFAO,2200,17.6062,30.8485,5.32,2026-04-08T20:54:00.912714
BHFAP,54,19.46,30.44,4.0,2026-04-08T20:11:33.818835
BML PRH,776,19.2489,30.4253,0.0,2026-04-06T22:58:51.127088
BML PRL,166,19.9516,30.7259,7.95,2026-04-07T20:34:52.074477
BOH PRA,-400,16.3323,31.25,20.0,2026-03-28T15:09:43.171051
CIO PRA,-200,19.0248,31.25,20.0,2026-03-28T15:09:43.171051
CMSA,2257,20.9342,31.17,19.0,2026-03-28T15:09:43.171051
CMSC,1104,22.9898,31.12,22.0,2026-04-06T20:48:52.258406
CMSD,1940,21.7545,31.208,29.3,2026-03-28T15:09:43.171051
CUBB,-16,20.2373,31.5967,33.0,2026-03-28T15:09:43.171051
DCOMP,-144,19.2029,31.8,39.0,2026-03-28T15:09:43.171051
DTB,1702,17.2266,31.0712,19.25,2026-04-08T20:44:48.926022
DTG,2240,18.0391,31.2433,23.01,2026-04-08T22:46:30.927945
EFSCP,-276,19.4159,31.3163,52.78,2026-03-28T15:09:43.171051
ELC,400,20.649,31.28,25.0,2026-03-28T15:09:43.171051
ENJ,121,19.9483,31.8,39.0,2026-03-28T15:09:43.171051
FCNCO,-600,23.1948,31.271,29.7,2026-03-28T15:09:43.171051
FLG PRA,200,21.215,30.6346,8.92,2026-03-28T15:09:43.171051
GAB PRK,200,20.535,31.25,20.0,2026-03-28T15:09:43.171051
