Symbol,Group,Round_Lots_Count,Avg_Inter_Arrival_Sec,Persistence_Risk_Score,OFI_Score,Final_BB_Score,Aggressiveness,Optimal_Spread,Danger_Flag,Danger_Reason,PM_Transition_Plan,ADV
AHL PRE,heldcommonsuz,44,649.0,0.18,-0.14,0,NEUTRAL,0.05,False,,NORMAL,13903.0
AHL PRD,heldcommonsuz,24,6263.0,1.0,0.23,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,15554.0
ATH PRD,heldcommonsuz,113,281.0,0.08,0.05,0,NEUTRAL,0.05,False,,NORMAL,66243.0
ATH PRB,heldcommonsuz,110,1280.0,0.36,-0.32,0,NEUTRAL,0.05,False,,NORMAL,27608.0
TRTN PRD,heldcommonsuz,78,1384.0,0.38,-0.41,0,NEUTRAL,0.05,False,,NORMAL,10401.0
SLG PRI,heldcommonsuz,58,2282.0,0.63,-0.1,0,NEUTRAL,0.07,False,,NORMAL,11962.0
TDS PRU,heldcommonsuz,87,1399.0,0.39,0.38,0,NEUTRAL,0.05,False,,NORMAL,32911.0
TDS PRV,heldcommonsuz,60,1971.0,0.55,-0.02,0,NEUTRAL,0.07,False,,NORMAL,49903.0
VNO PRL,heldcommonsuz,14,8692.0,1.0,0.33,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,21753.0
VNO PRM,heldcommonsuz,42,2715.0,0.75,0.07,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,11988.0
VNO PRN,heldcommonsuz,40,2723.0,0.76,0.12,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,14406.0
VNO PRO,heldcommonsuz,24,5085.0,1.0,-0.08,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,17079.0
JSM,heldcommonsuz,34,4698.0,1.0,-0.58,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,12813.0
PSEC PRA,heldcommonsuz,22,6301.0,1.0,0.49,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,7565.0
TRTX PRC,heldcommonsuz,13,11714.0,1.0,-0.64,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,10855.0
PBI PRB,heldcommonsuz,86,1499.0,0.42,0.01,0,NEUTRAL,0.05,False,,NORMAL,26876.0
ALL PRJ,helddeznff,115,299.0,0.08,-0.16,0,NEUTRAL,0.05,False,,NORMAL,28734.0
ANG PRD,helddeznff,192,155.0,0.04,0.4,0,NEUTRAL,0.05,False,,NORMAL,11010.0
APOS,helddeznff,88,1961.0,0.54,-0.1,0,NEUTRAL,0.07,False,,NORMAL,34049.0
ATH PRE,helddeznff,109,1241.0,0.34,0.09,0,NEUTRAL,0.05,False,,NORMAL,23791.0
ATHS,helddeznff,106,1549.0,0.43,0.21,0,NEUTRAL,0.05,False,,NORMAL,31700.0
BK PRK,helddeznff,44,1098.0,0.31,0.24,0,NEUTRAL,0.05,False,,NORMAL,46337.0
CFG PRH,helddeznff,65,1721.0,0.48,0.24,0,NEUTRAL,0.05,False,,NORMAL,18241.0
DCOMG,helddeznff,2,74567.0,1.0,1.0,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,2766.0
FGN,helddeznff,55,2374.0,0.66,0.0,0,NEUTRAL,0.07,False,,NORMAL,12844.0
HBANL,helddeznff,54,2771.0,0.77,0.03,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,11683.0
